athlete_name,short_name,athlete_gender,athlete_birth_date,athlete_birth_place,athlete_birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,height_m/ft,url
KIPYEGO Sally,KIPYEGO S,Female,00:00.0,,Kenya,United States of America,USA,Athletics,ATH,"EUGENE, OR",United States of America,,../../../en/results/athletics/athlete-profile-n1460820-kipyego-sally.htm
KIPYEGON Faith,KIPYEGON F,Female,00:00.0,BOMET,Kenya,Kenya,KEN,Athletics,ATH,ELDORET,Kenya,,../../../en/results/athletics/athlete-profile-n1402345-kipyegon-faith.htm
KIRBY Fran,KIRBY F,,,,,,GBR,,FBL,,,,../../../en/results/football/athlete-profile-n1464754-kirby-fran.htm
KIRCHMANN Leah,KIRCHMANN L,Female,00:00.0,"WINNIPEG, MB",Canada,Canada,CAN,Cycling Road,CRD,CANADA,,1.66/5'5'',../../../en/results/cycling-road/athlete-profile-n1450827-kirchmann-leah.htm
KIRIAKE Teruko,KIRIAKE T,Female,00:00.0,,,Japan,JPN,Canoe Sprint,CSP,,,,../../../en/results/canoe-sprint/athlete-profile-n1313855-kiriake-teruko.htm
KIRISHITA Yoshiki,KIRISHITA Y,Male,00:00.0,NARA,Japan,Japan,JPN,Hockey,HOC,,,,../../../en/results/hockey/athlete-profile-n1316844-kirishita-yoshiki.htm
KIRKHAM Shaun,KIRKHAM S,Male,00:00.0,HAMILTON,New Zealand,New Zealand,NZL,Rowing,ROW,CAMBRIDGE,New Zealand,,../../../en/results/rowing/athlete-profile-n1462934-kirkham-shaun.htm
KIRKPATRICK James Alexander Paget,KIRKPATRICK JAP,Male,00:00.0,"VICTORIA, BC",Canada,Canada,CAN,Hockey,HOC,"VICTORIA, BC",Canada,1.74/5'8'',../../../en/results/hockey/athlete-profile-n1433890-kirkpatrick-james-alexander-paget.htm
KIRPICHNIKOVA Anastasiia,KIRPICHNIKOVA A,Female,00:00.0,ASBEST,Russian Federation,ROC,ROC,Marathon Swimming,OWS,MONTPELLIER,France,,../../../en/results/marathon-swimming/athlete-profile-n1431563-kirpichnikova-anastasiia.htm
KIRPICHNIKOVA Anastasiia,KIRPICHNIKOVA A,Female,00:00.0,ASBEST,Russian Federation,ROC,ROC,Swimming,SWM,MONTPELLIER,France,,../../../en/results/swimming/athlete-profile-n1431563-kirpichnikova-anastasiia.htm
KIRPU Erika,KIRPU E,Female,00:00.0,MOSCOW,Russian Federation,Estonia,EST,Fencing,FEN,MILAN,Italy,,../../../en/results/fencing/athlete-profile-n1375113-kirpu-erika.htm
KIRSANOVA Viktoria,KIRSANOVA V,Female,00:00.0,ST. PETERSBURG,Russian Federation,ROC,ROC,Cycling Mountain Bike,MTB,ST. PETERSBURG,Russian Federation,1.72/5'7'',../../../en/results/cycling-mountain-bike/athlete-profile-n1404259-kirsanova-viktoria.htm
KIRSHE Kristi,KIRSHE K,Female,00:00.0,"NATICK, MA",United States of America,United States of America,USA,Rugby Sevens,RUG,"SAN DIEGO, CA",United States of America,1.60/5'2'',../../../en/results/rugby-sevens/athlete-profile-n1317851-kirshe-kristi.htm
KIRUI Purity,KIRUI P,Female,00:00.0,,,Kenya,KEN,Athletics,ATH,,,,../../../en/results/athletics/athlete-profile-n1872598-kirui-purity.htm
KIRYAKOVA Stefani,KIRYAKOVA S,Female,00:00.0,BURGAS,Bulgaria,Bulgaria,BUL,Rhythmic Gymnastics,GRY,SOFIA,Bulgaria,1.70/5'6'',../../../en/results/rhythmic-gymnastics/athlete-profile-n1311853-kiryakova-stefani.htm
KIRYU Yoshihide,KIRYU Y,Male,00:00.0,HIKONE,Japan,Japan,JPN,Athletics,ATH,,,,../../../en/results/athletics/athlete-profile-n1319475-kiryu-yoshihide.htm
KISFALUDY Anett,KISFALUDY A,Female,00:00.0,KAPUVAR,Hungary,Hungary,HUN,Handball,HBL,ERD,Hungary,1.82/5'11'',../../../en/results/handball/athlete-profile-n1309509-kisfaludy-anett.htm
KISHI Daiki,KISHI D,Male,00:00.0,KOMATSU,Japan,Japan,JPN,Trampoline Gymnastics,GTR,TOKYO,Japan,,../../../en/results/trampoline-gymnastics/athlete-profile-n1319260-kishi-daiki.htm
KISHIMOTO Niina,KISHIMOTO N,Female,00:00.0,KAWAGOE,Japan,,JPN,Triathlon,TRI,,,1.65/5'4'',../../../en/results/triathlon/athlete-profile-n1316088-kishimoto-niina.htm
KISIL Yuri,KISIL Y,Male,00:00.0,"CALGARY, AB",Canada,Canada,CAN,Swimming,SWM,"TORONTO, ON",Canada,,../../../en/results/swimming/athlete-profile-n1459660-kisil-yuri.htm
KISS Nikoletta,KISS N,Female,00:00.0,BUDAPEST,Hungary,Hungary,HUN,Handball,HBL,,,1.82/5'11'',../../../en/results/handball/athlete-profile-n1309542-kiss-nikoletta.htm
KISSA Stephen,KISSA S,Male,00:00.0,KAPCHORWA,Uganda,Uganda,UGA,Athletics,ATH,,,,../../../en/results/athletics/athlete-profile-n1450702-kissa-stephen.htm
KISTOHURRY Samuel,KISTOHURRY S,Male,00:00.0,,France,France,FRA,Boxing,BOX,BORDEAUX,France,1.75/5'8'',../../../en/results/boxing/athlete-profile-n1402386-kistohurry-samuel.htm
KIT Kristen,KIT K,Female,00:00.0,"ST. CATHARINES, ON",Canada,Canada,CAN,Rowing,ROW,,,1.63/5'4'',../../../en/results/rowing/athlete-profile-n1433269-kit-kristen.htm
KIT Tetyana,KIT T,Female,00:00.0,,,Ukraine,UKR,Wrestling,WRE,LVIV,Ukraine,,../../../en/results/wrestling/athlete-profile-n1483834-kit-tetyana.htm
KITA Sumire,KITA S,Female,00:00.0,TAKAMATSU,Japan,Japan,JPN,Rhythmic Gymnastics,GRY,,,1.65/5'4'',../../../en/results/rhythmic-gymnastics/athlete-profile-n1319208-kita-sumire.htm
KITAGUCHI Haruka,KITAGUCHI H,Female,00:00.0,ASAHIKAWA,Japan,Japan,JPN,Athletics,ATH,TOKYO,Japan,,../../../en/results/athletics/athlete-profile-n1319314-kitaguchi-haruka.htm
KITAHARA Hiroyuki,KITAHARA H,Male,00:00.0,TOKYO,Japan,Japan,JPN,Equestrian,EQU,,,,../../../en/results/equestrian/athlete-profile-n1313157-kitahara-hiroyuki.htm
KITAJIMA Ryuzo,KITAJIMA R,Male,00:00.0,KOBE,Japan,Japan,JPN,Equestrian,EQU,,,,../../../en/results/equestrian/athlete-profile-n1285091-kitajima-ryuzo.htm
KITAMURA Nanami,KITAMURA N,Female,00:00.0,,,Japan,JPN,Football,FBL,,,1.61/5'3'',../../../en/results/football/athlete-profile-n1329601-kitamura-nanami.htm
KITATA Shura,KITATA S,Male,00:00.0,,Ethiopia,Ethiopia,ETH,Athletics,ATH,,,,../../../en/results/athletics/athlete-profile-n1450687-kitata-shura.htm
KITAZATO Kenji,KITAZATO K,,,,,,JPN,,HOC,,,,../../../en/results/hockey/athlete-profile-n1316845-kitazato-kenji.htm
KITAZONO Takeru,KITAZONO T,,,,,,JPN,,GAR,,,,../../../en/results/artistic-gymnastics/athlete-profile-n1318259-kitazono-takeru.htm
KITITHARAKUL Jongkolphan,KITITHARAKUL J,Female,00:00.0,CHIANG MAI,Thailand,Thailand,THA,Badminton,BDM,BANGKOK,Thailand,,../../../en/results/badminton/athlete-profile-n1449437-kititharakul-jongkolphan.htm
KITTEL Patrik,KITTEL P,Male,00:00.0,OSTERAKER,Sweden,Sweden,SWE,Equestrian,EQU,MUNSTER,Germany,,../../../en/results/equestrian/athlete-profile-n1436069-kittel-patrik.htm
KITTS Wesley Brian,KITTS WB,Male,00:00.0,"KNOXVILLE, TN",United States of America,United States of America,USA,Weightlifting,WLF,"KNOXVILLE, TN",United States of America,1.80/5'10'',../../../en/results/weightlifting/athlete-profile-n1285340-kitts-wesley-brian.htm
KITWANITSATHIAN Chutikan,KITWANITSATHIAN C,Female,00:00.0,,,Thailand,THA,Cycling BMX Racing,BMX,SUPHANBURI,Thailand,,../../../en/results/cycling-bmx-racing/athlete-profile-n1443513-kitwanitsathian-chutikan.htm
KIVIOJA Kaidi,KIVIOJA K,Female,00:00.0,RAKVERE,Estonia,,EST,Triathlon,TRI,RAKVERE,Estonia,,../../../en/results/triathlon/athlete-profile-n1370159-kivioja-kaidi.htm
KIVLEHAN Patrick,KIVLEHAN P,Male,00:00.0,"NYACK, NY",United States of America,United States of America,USA,Baseball/Softball,BSB,,,1.88/6'2'',../../../en/results/baseball-softball/athlete-profile-n1889209-kivlehan-patrick.htm
KIYANI CHANDEH Nahid,KIYANI CHANDEH N,Female,00:00.0,ESFAHAN,Islamic Republic of Iran,Islamic Republic of Iran,IRI,Taekwondo,TKW,,,,../../../en/results/taekwondo/athlete-profile-n1283825-kiyani-chandeh-nahid.htm
KIYENG Hyvin,KIYENG H,Female,00:00.0,,,Kenya,KEN,Athletics,ATH,,,,../../../en/results/athletics/athlete-profile-n1402349-kiyeng-hyvin.htm
KIYOHARA Nayu,KIYOHARA N,Female,00:00.0,OSAKA,Japan,Japan,JPN,Baseball/Softball,BSB,,,1.65/5'4'',../../../en/results/baseball-softball/athlete-profile-n1313717-kiyohara-nayu.htm
KIYUNA Ryo,KIYUNA R,Male,00:00.0,OKINAWA,Japan,Japan,JPN,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1315377-kiyuna-ryo.htm
KJAER Emil,KJAER E,Male,00:00.0,,,Denmark,DEN,Athletics,ATH,,,,../../../en/results/athletics/athlete-profile-n1705812-kjaer-emil.htm
KLAMER Rachel,KLAMER R,Female,00:00.0,HARARE,Zimbabwe,,NED,Triathlon,TRI,BEUNINGEN,Netherlands,,../../../en/results/triathlon/athlete-profile-n1455044-klamer-rachel.htm
KLAMMERT David,KLAMMERT D,Male,00:00.0,KROMERIZ,Czech Republic,Czech Republic,CZE,Judo,JUD,PRAGUE,Czech Republic,,../../../en/results/judo/athlete-profile-n1408644-klammert-david.htm
KLAVER Lieke,KLAVER L,Female,00:00.0,,,Netherlands,NED,Athletics,ATH,ARNHEM,Netherlands,,../../../en/results/athletics/athlete-profile-n1476226-klaver-lieke.htm
KLECKER Joe,KLECKER J,Male,00:00.0,"MINNEAPOLIS, MN",United States of America,United States of America,USA,Athletics,ATH,"BOULDER, CO",United States of America,,../../../en/results/athletics/athlete-profile-n1869721-klecker-joe.htm
KLEIBRINK Benjamin,KLEIBRINK B,,,,,,GER,,FEN,,,,../../../en/results/fencing/athlete-profile-n1309654-kleibrink-benjamin.htm
KLEIN Hanna,KLEIN H,Female,00:00.0,,,Germany,GER,Athletics,ATH,TUBINGEN,Germany,,../../../en/results/athletics/athlete-profile-n1347109-klein-hanna.htm
KLEIN Lisa,KLEIN L,Female,00:00.0,SAARBRUCKEN,Germany,Germany,GER,Cycling Road,CRD,LAUTERBACH,Germany,1.70/5'6'',../../../en/results/cycling-road/athlete-profile-n1330510-klein-lisa.htm
KLEIN Lisa,KLEIN L,Female,00:00.0,SAARBRUCKEN,Germany,Germany,GER,Cycling Track,CTR,LAUTERBACH,Germany,1.70/5'6'',../../../en/results/cycling-track/athlete-profile-n1330510-klein-lisa.htm
KLEIN Luis,KLEIN L,Male,00:00.0,BUENOS AIRES,Argentina,Germany,GER,Fencing,FEN,,,,../../../en/results/fencing/athlete-profile-n1309657-klein-luis.htm
KLEIN Lukas,KLEIN L,Male,00:00.0,SPISSKA NOVA VES,Slovakia,Slovakia,SVK,Tennis,TEN,,,,../../../en/results/tennis/athlete-profile-n1379809-klein-lukas.htm
KLESHCHENKO Evgeny,KLESHCHENKO E,Male,00:00.0,OMSK,Russian Federation,ROC,ROC,Cycling BMX Racing,BMX,OMSK,Russian Federation,1.75/5'8'',../../../en/results/cycling-bmx-racing/athlete-profile-n1425465-kleshchenko-evgeny.htm
KLEVANOVICH Elizaveta,KLEVANOVICH E,Female,00:00.0,TYUMEN,Russian Federation,ROC,ROC,Swimming,SWM,TYUMEN,Russian Federation,,../../../en/results/swimming/athlete-profile-n1477302-klevanovich-elizaveta.htm
KLIKOVAC Andrea,KLIKOVAC A,Female,00:00.0,PODGORICA,Montenegro,Montenegro,MNE,Handball,HBL,,,1.80/5'10'',../../../en/results/handball/athlete-profile-n1304244-klikovac-andrea.htm
KLIMKAIT Jessica,KLIMKAIT J,Female,00:00.0,,,Canada,CAN,Judo,JUD,"MONTREAL, QC",Canada,,../../../en/results/judo/athlete-profile-n1433444-klimkait-jessica.htm
KLIMOVA Diana,KLIMOVA D,Female,00:00.0,,,ROC,ROC,Cycling Track,CTR,,,1.72/5'7'',../../../en/results/cycling-track/athlete-profile-n1436562-klimova-diana.htm
KLIMOVICH Tatsiana,KLIMOVICH T,Female,00:00.0,IVAKI,Belarus,Belarus,BLR,Rowing,ROW,GOMEL,Belarus,,../../../en/results/rowing/athlete-profile-n1288679-klimovich-tatsiana.htm
KLINEMAN Alix,KLINEMAN A,Female,00:00.0,"TORRANCE, CA",United States of America,United States of America,USA,Beach Volleyball,VBV,,,1.95/6'4'',../../../en/results/beach-volleyball/athlete-profile-n1331864-klineman-alix.htm
KLINGLER Petra,KLINGLER P,Female,00:00.0,,,Switzerland,SUI,Sport Climbing,CLB,,,1.62/5'3'',../../../en/results/sport-climbing/athlete-profile-n1465806-klingler-petra.htm
KLISHINA Darya,KLISHINA D,Female,00:00.0,TVER,Russian Federation,ROC,ROC,Athletics,ATH,"ATLANTA, GA",United States of America,,../../../en/results/athletics/athlete-profile-n1431102-klishina-darya.htm
KLIUKA Egor,KLIUKA E,Male,00:00.0,KOBRYN,Belarus,ROC,ROC,Volleyball,VVO,MOSCOW,Russian Federation,2.09/6'10'',../../../en/results/volleyball/athlete-profile-n1435949-kliuka-egor.htm
KLOSTER Line,KLOSTER L,Female,00:00.0,,,Norway,NOR,Athletics,ATH,ASKER,Norway,,../../../en/results/athletics/athlete-profile-n1405959-kloster-line.htm
KLOSTERHALFEN Konstanze,KLOSTERHALFEN K,Female,00:00.0,COLOGNE,Germany,Germany,GER,Athletics,ATH,"PORTLAND, OR",United States of America,,../../../en/results/athletics/athlete-profile-n1347112-klosterhalfen-konstanze.htm
KLUGE Roger,KLUGE R,Male,00:00.0,EISENHUTTENSTADT,Germany,Germany,GER,Cycling Track,CTR,EISENHUTTENSTADT,Germany,1.92/6'3'',../../../en/results/cycling-track/athlete-profile-n1330474-kluge-roger.htm
KLUJBER Katrin Gitta,KLUJBER KG,Female,00:00.0,DUNAUJVAROS,Hungary,Hungary,HUN,Handball,HBL,,,1.70/5'6'',../../../en/results/handball/athlete-profile-n1309529-klujber-katrin-gitta.htm
KLUVER FERREIRA Felipe,KLUVER FERREIRA F,Male,00:00.0,,,Uruguay,URU,Rowing,ROW,FRAY BENTOS,Uruguay,,../../../en/results/rowing/athlete-profile-n1327976-kluver-ferreira-felipe.htm
KLYMETS Iryna,KLYMETS I,Female,00:00.0,CHETVERTNYA,Ukraine,Ukraine,UKR,Athletics,ATH,LUTSK,Ukraine,,../../../en/results/athletics/athlete-profile-n1444767-klymets-iryna.htm
KLYMYUK Kateryna,KLYMYUK K,Female,00:00.0,RIVNE,Ukraine,Ukraine,UKR,Athletics,ATH,RIVNE,Ukraine,,../../../en/results/athletics/athlete-profile-n1444778-klymyuk-kateryna.htm
KNAB Ruben,KNAB R,Male,00:00.0,EDE,Netherlands,Netherlands,NED,Rowing,ROW,AMSTERDAM,Netherlands,,../../../en/results/rowing/athlete-profile-n1476563-knab-ruben.htm
KNABL Alois,KNABL A,Male,00:00.0,INNSBRUCK,Austria,,AUT,Triathlon,TRI,,,,../../../en/results/triathlon/athlete-profile-n1331325-knabl-alois.htm
KNAPIK-MIAZGA Renata,KNAPIK-MIAZGA R,Female,00:00.0,TARNOW,Poland,Poland,POL,Fencing,FEN,KRAKOW,Poland,,../../../en/results/fencing/athlete-profile-n1340553-knapik-miazga-renata.htm
KNEISKY Morgan,KNEISKY M,Male,00:00.0,,,France,FRA,Cycling Track,CTR,,,1.73/5'8'',../../../en/results/cycling-track/athlete-profile-n1398934-kneisky-morgan.htm
KNEWSTUBB Andrew,KNEWSTUBB A,Male,00:00.0,WELLINGTON,New Zealand,New Zealand,NZL,Rugby Sevens,RUG,MOUNT MAUNGANUI,New Zealand,1.88/6'2'',../../../en/results/rugby-sevens/athlete-profile-n1473832-knewstubb-andrew.htm
KNIBB Taylor,KNIBB T,Female,00:00.0,,,,USA,Triathlon,TRI,"BOULDER, CO",United States of America,1.70/5'6'',../../../en/results/triathlon/athlete-profile-n1320203-knibb-taylor.htm
KNIGHT Jessie,KNIGHT J,Female,00:00.0,,,Great Britain,GBR,Athletics,ATH,EPSOM,Great Britain,,../../../en/results/athletics/athlete-profile-n1477763-knight-jessie.htm
KNIGHT Josie,KNIGHT J,Female,00:00.0,,,Great Britain,GBR,Cycling Track,CTR,,,,../../../en/results/cycling-track/athlete-profile-n1474959-knight-josie.htm
KNIGHT Justyn,KNIGHT J,Male,00:00.0,"TORONTO, ON",Canada,Canada,CAN,Athletics,ATH,"CHARLOTTESVILLE, VA",United States of America,,../../../en/results/athletics/athlete-profile-n1432502-knight-justyn.htm
KNIGHTON Erriyon,KNIGHTON E,Male,00:00.0,,,United States of America,USA,Athletics,ATH,"TAMPA, FL",United States of America,,../../../en/results/athletics/athlete-profile-n1898643-knighton-erriyon.htm
KNIGHT-WISDOM Yona,KNIGHT-WISDOM Y,Male,00:00.0,LEEDS,Great Britain,Jamaica,JAM,Diving,DIV,EDINBURGH,Great Britain,1.87/6'1'',../../../en/results/diving/athlete-profile-n1338520-knight-wisdom-yona.htm
KNIPPING Arjan,KNIPPING A,Male,00:00.0,,,Netherlands,NED,Swimming,SWM,EINDHOVEN,Netherlands,,../../../en/results/swimming/athlete-profile-n1467430-knipping-arjan.htm
KNOLL Anabel,KNOLL A,Female,00:00.0,INGOLSTADT,Germany,,GER,Triathlon,TRI,NUREMBERG,Germany,1.80/5'10'',../../../en/results/triathlon/athlete-profile-n1310876-knoll-anabel.htm
KNORR Juri,KNORR J,Male,00:00.0,FLENSBURG,Germany,Germany,GER,Handball,HBL,,,1.90/6'2'',../../../en/results/handball/athlete-profile-n1345487-knorr-juri.htm
KNOTT Kristina Marie,KNOTT KM,Female,00:00.0,"ORLANDO, FL",United States of America,Philippines,PHI,Athletics,ATH,"ORLANDO, FL",United States of America,,../../../en/results/athletics/athlete-profile-n1461800-knott-kristina-marie.htm
KNOX Bronwen,KNOX B,Female,00:00.0,"BRISBANE, QLD",Australia,Australia,AUS,Water Polo,WPO,"BRISBANE, QLD",Australia,,../../../en/results/water-polo/athlete-profile-n1483282-knox-bronwen.htm
KNOX Finlay,KNOX F,Male,00:00.0,LEEDS,Great Britain,Canada,CAN,Swimming,SWM,,,,../../../en/results/swimming/athlete-profile-n1459674-knox-finlay.htm
KNUPPEL ARTAGAVEYTIA Dominique,KNUPPEL D,Female,00:00.0,,,Uruguay,URU,Sailing,SAL,URUGUAY,,,../../../en/results/sailing/athlete-profile-n1331526-knuppel-artagaveytia-dominique.htm
KNYSTAUTAS Mantas,KNYSTAUTAS M,Male,00:00.0,,,Lithuania,LTU,Wrestling,WRE,KLAIPEDA,Lithuania,,../../../en/results/wrestling/athlete-profile-n1290044-knystautas-mantas.htm
KO Jin Young,KO JY,Female,00:00.0,SEOUL,Republic of Korea,Republic of Korea,KOR,Golf,GLF,,,1.67/5'5'',../../../en/results/golf/athlete-profile-n1346222-ko-jin-young.htm
KO Lydia,KO L,Female,00:00.0,SEOUL,Republic of Korea,New Zealand,NZL,Golf,GLF,UNITED STATES OF AMERICA,,,../../../en/results/golf/athlete-profile-n1459960-ko-lydia.htm
KO Youngpyo,KO Y,Male,00:00.0,NAJU,Republic of Korea,Republic of Korea,KOR,Baseball/Softball,BSB,,,1.87/6'1'',../../../en/results/baseball-softball/athlete-profile-n1440843-ko-youngpyo.htm
KOALA Marthe,KOALA M,Female,00:00.0,BOBO-DIOULASSO,Burkina Faso,Burkina Faso,BUR,Athletics,ATH,QUATRE BORNES,Mauritius,,../../../en/results/athletics/athlete-profile-n1283426-koala-marthe.htm
KOBATA Mako,KOBATA M,Female,00:00.0,KAMIAMAKUSA,Japan,Japan,JPN,Volleyball,VVO,,,1.64/5'4'',../../../en/results/volleyball/athlete-profile-n1316353-kobata-mako.htm
KOBAYASHI Yuka,KOBAYASHI Y,Female,00:00.0,,,Japan,JPN,Cycling Track,CTR,,,,../../../en/results/cycling-track/athlete-profile-n1313870-kobayashi-yuka.htm
KOBLOVA Valeria,KOBLOVA V,Female,00:00.0,YEGORYEVSK,Russian Federation,ROC,ROC,Wrestling,WRE,YEGORYEVSK,Russian Federation,,../../../en/results/wrestling/athlete-profile-n1436237-koblova-valeria.htm
KOBORI Waka,KOBORI W,Female,00:00.0,,Japan,Japan,JPN,Swimming,SWM,,,1.63/5'4'',../../../en/results/swimming/athlete-profile-n1315956-kobori-waka.htm
KOBRICH Kristel,KOBRICH K,Female,00:00.0,SANTIAGO,Chile,Chile,CHI,Swimming,SWM,CORDOBA,Argentina,,../../../en/results/swimming/athlete-profile-n1304500-kobrich-kristel.htm
KOBUS-ZAWOJSKA Agnieszka,KOBUS-ZAWOJSKA A,Female,00:00.0,WARSAW,Poland,Poland,POL,Rowing,ROW,WARSAW,Poland,1.77/5'9'',../../../en/results/rowing/athlete-profile-n1316421-kobus-zawojska-agnieszka.htm
KOBZAR Igor,KOBZAR I,Male,00:00.0,BISHKEK,Kyrgyzstan,ROC,ROC,Volleyball,VVO,KEMEROVO,Russian Federation,1.98/6'5'',../../../en/results/volleyball/athlete-profile-n1435932-kobzar-igor.htm
KOCH Marc,KOCH M,Male,00:00.0,BERLIN,Germany,Germany,GER,Athletics,ATH,BERLIN,Germany,1.88/6'2'',../../../en/results/athletics/athlete-profile-n1347113-koch-marc.htm
KOCH Marco,KOCH M,Male,00:00.0,DARMSTADT,Germany,Germany,GER,Swimming,SWM,DARMSTADT,Germany,,../../../en/results/swimming/athlete-profile-n1350545-koch-marco.htm
KOCH Sophie,KOCH S,Female,00:00.0,,,Germany,GER,Canoe Sprint,CSP,,,1.70/5'6'',../../../en/results/canoe-sprint/athlete-profile-n1333382-koch-sophie.htm
KOCHANOWSKI Jakub,KOCHANOWSKI J,Male,00:00.0,GIZYCKO,Poland,Poland,POL,Volleyball,VVO,,,1.99/6'6'',../../../en/results/volleyball/athlete-profile-n1313998-kochanowski-jakub.htm
KOCHER Fabienne,KOCHER F,Female,00:00.0,,,Switzerland,SUI,Judo,JUD,STILLI,Switzerland,,../../../en/results/judo/athlete-profile-n1465808-kocher-fabienne.htm
KOCHESOK Susana,KOCHESOK S,Female,00:00.0,TLYUSTENKHABL,Russian Federation,ROC,ROC,Trampoline Gymnastics,GTR,TLYUSTENKHABL,Russian Federation,1.63/5'4'',../../../en/results/trampoline-gymnastics/athlete-profile-n1429192-kochesok-susana.htm
KOCHHANN Raquel,KOCHHANN R,Female,00:00.0,SAUDADES,Brazil,Brazil,BRA,Rugby Sevens,RUG,CAXIAS DO SUL,Brazil,1.72/5'7'',../../../en/results/rugby-sevens/athlete-profile-n1314208-kochhann-raquel.htm
KOCHMAN Li,KOCHMAN L,Male,00:00.0,,,Israel,ISR,Judo,JUD,ISRAEL,,,../../../en/results/judo/athlete-profile-n1283103-kochman-li.htm
KOCINA Anete,KOCINA A,Female,00:00.0,LIMBAZI,Latvia,Latvia,LAT,Athletics,ATH,,,,../../../en/results/athletics/athlete-profile-n1467191-kocina-anete.htm
KODAMA Mei,KODAMA M,Female,00:00.0,USUKI,Japan,Japan,JPN,Athletics,ATH,,,,../../../en/results/athletics/athlete-profile-n1327242-kodama-mei.htm
KODIROVA Raykhona,KODIROVA R,Female,00:00.0,,,Uzbekistan,UZB,Boxing,BOX,,,,../../../en/results/boxing/athlete-profile-n1312391-kodirova-raykhona.htm
KODISANG Kobamelo,KODISANG K,Male,00:00.0,,,South Africa,RSA,Football,FBL,,,1.69/5'6'',../../../en/results/football/athlete-profile-n1370433-kodisang-kobamelo.htm
KOECH John,KOECH J,Male,00:00.0,KERICHO,Kenya,Bahrain,BRN,Athletics,ATH,MANAMA,Bahrain,,../../../en/results/athletics/athlete-profile-n1334003-koech-john.htm
KOECHLIN Thomas,KOECHLIN T,Male,00:00.0,,Singapore,Switzerland,SUI,Canoe Slalom,CSL,PAU,France,,../../../en/results/canoe-slalom/athlete-profile-n1465810-koechlin-thomas.htm
KOENDERS Joanne,KOENDERS J,Female,00:00.0,,,Netherlands,NED,Water Polo,WPO,,,,../../../en/results/water-polo/athlete-profile-n1478027-koenders-joanne.htm
KOEPFER Dominik,KOEPFER D,Male,00:00.0,FURTWANGEN,Germany,Germany,GER,Tennis,TEN,"TAMPA, FL",United States of America,1.80/5'10'',../../../en/results/tennis/athlete-profile-n1320015-koepfer-dominik.htm
KOERSTZ MADSEN Nanna,KOERSTZ MADSEN N,Female,00:00.0,SMORUM,Denmark,Denmark,DEN,Golf,GLF,"BOCA RATON, FL",United States of America,1.71/5'7'',../../../en/results/golf/athlete-profile-n1390805-koerstz-madsen-nanna.htm
KOGA Sarina,KOGA S,Female,00:00.0,,,Japan,JPN,Volleyball,VVO,,,1.80/5'10'',../../../en/results/volleyball/athlete-profile-n1316328-koga-sarina.htm
KOHLBACHER Jannik,KOHLBACHER J,Male,00:00.0,,,Germany,GER,Handball,HBL,,,1.93/6'3'',../../../en/results/handball/athlete-profile-n1345473-kohlbacher-jannik.htm
KOHLER Kara,KOHLER K,Female,00:00.0,"CLAYTON, CA",United States of America,United States of America,USA,Rowing,ROW,,,,../../../en/results/rowing/athlete-profile-n1348222-kohler-kara.htm
KOHLER Sarah,KOHLER S,Female,00:00.0,HANAU,Germany,Germany,GER,Swimming,SWM,MAGDEBURG,Germany,,../../../en/results/swimming/athlete-profile-n1350546-kohler-sarah.htm
KOHLHOFF Paul,KOHLHOFF P,Male,00:00.0,BREMEN,Germany,Germany,GER,Sailing,SAL,KIEL,Germany,1.87/6'1'',../../../en/results/sailing/athlete-profile-n1306490-kohlhoff-paul.htm
KOHLSCHREIBER Philipp,KOHLSCHREIBER P,Male,00:00.0,AUGSBURG,Germany,Germany,GER,Tennis,TEN,MUNICH,Germany,1.80/5'10'',../../../en/results/tennis/athlete-profile-n1319999-kohlschreiber-philipp.htm
KOIDE Mifuyu,KOIDE M,Female,00:00.0,YOKOHAMA,Japan,Japan,JPN,Rugby Sevens,RUG,,,1.65/5'4'',../../../en/results/rugby-sevens/athlete-profile-n1352860-koide-mifuyu.htm
KOIDE Miku,KOIDE M,Female,00:00.0,,,Japan,JPN,Water Polo,WPO,KASHIWAZAKI,Japan,,../../../en/results/water-polo/athlete-profile-n1316549-koide-miku.htm
KOIKE Yuki,KOIKE Y,Male,00:00.0,OTARU,Japan,Japan,JPN,Athletics,ATH,,,,../../../en/results/athletics/athlete-profile-n1319404-koike-yuki.htm
KOIZUMI Ibuki,KOIZUMI I,Male,00:00.0,,Japan,Japan,JPN,Sailing,SAL,NEW ZEALAND,,1.68/5'6'',../../../en/results/sailing/athlete-profile-n1315579-koizumi-ibuki.htm
KOJIC Frane Tomislav,KOJIC FT,Male,00:00.0,,,Croatia,CRO,Table Tennis,TTE,ZAGREB,Croatia,,../../../en/results/table-tennis/athlete-profile-n1381570-kojic-frane-tomislav.htm
KOK SHUN Alicia,KOK SHUN A,Female,00:00.0,,,Mauritius,MRI,Swimming,SWM,,,,../../../en/results/swimming/athlete-profile-n1405805-kok-shun-alicia.htm
KOK Tevin Michael,KOK TM,Male,00:00.0,,South Africa,South Africa,RSA,Hockey,HOC,PRETORIA,South Africa,,../../../en/results/hockey/athlete-profile-n1340648-kok-tevin-michael.htm
KOKAURI Ushangi,KOKAURI U,Male,00:00.0,GORI,Georgia,Azerbaijan,AZE,Judo,JUD,,,,../../../en/results/judo/athlete-profile-n1341365-kokauri-ushangi.htm
