medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,country_code,event,country,sport
Gold,1,,YOSOZUMI S,YOSOZUMI Sakura,W,../../../en/results/skateboarding/athlete-profile-n1315699-yosozumi-sakura.htm,JPN,Women's Park,Japan,Skateboarding
Silver,2,,HIRAKI K,HIRAKI Kokona,W,../../../en/results/skateboarding/athlete-profile-n1315697-hiraki-kokona.htm,JPN,Women's Park,Japan,Skateboarding
Bronze,3,,BROWN S,BROWN Sky,W,../../../en/results/skateboarding/athlete-profile-n1440048-brown-sky.htm,GBR,Women's Park,Great Britain,Skateboarding
Gold,1,,TALAKHADZE L,TALAKHADZE Lasha,M,../../../en/results/weightlifting/athlete-profile-n1290690-talakhadze-lasha.htm,GEO,Men's +109kg,Georgia,Weightlifting
Silver,2,,DAVOUDI A,DAVOUDI Ali,M,../../../en/results/weightlifting/athlete-profile-n1285039-davoudi-ali.htm,IRI,Men's +109kg,Islamic Republic of Iran,Weightlifting
Bronze,3,,ASAAD M,ASAAD Man,M,../../../en/results/weightlifting/athlete-profile-n1389034-asaad-man.htm,SYR,Men's +109kg,Syrian Arab Republic,Weightlifting
Gold,1,,GERAEI M,GERAEI Mohammadreza,M,../../../en/results/wrestling/athlete-profile-n1288232-geraei-mohammadreza.htm,IRI,Men's Greco-Roman 67kg,Islamic Republic of Iran,Wrestling
Silver,2,,NASIBOV P,NASIBOV Parviz,M,../../../en/results/wrestling/athlete-profile-n1330678-nasibov-parviz.htm,UKR,Men's Greco-Roman 67kg,Ukraine,Wrestling
Bronze,3,,ELSAYED MIE,ELSAYED Mohamed Ibrahim Elsayed,M,../../../en/results/wrestling/athlete-profile-n1307258-elsayed-mohamed-ibrahim-elsayed.htm,EGY,Men's Greco-Roman 67kg,Egypt,Wrestling
Bronze,3,,STAEBLER F,STAEBLER Frank,M,../../../en/results/wrestling/athlete-profile-n1334849-staebler-frank.htm,GER,Men's Greco-Roman 67kg,Germany,Wrestling
Gold,1,,BELENIUK Z,BELENIUK Zhan,M,../../../en/results/wrestling/athlete-profile-n1330685-beleniuk-zhan.htm,UKR,Men's Greco-Roman 87kg,Ukraine,Wrestling
Silver,2,,LORINCZ V,LORINCZ Viktor,M,../../../en/results/wrestling/athlete-profile-n1334399-lorincz-viktor.htm,HUN,Men's Greco-Roman 87kg,Hungary,Wrestling
Bronze,3,,KUDLA DM,KUDLA Denis Maksymilian,M,../../../en/results/wrestling/athlete-profile-n1334847-kudla-denis-maksymilian.htm,GER,Men's Greco-Roman 87kg,Germany,Wrestling
Bronze,3,,DATUNASHVILI Z,DATUNASHVILI Zurabi,M,../../../en/results/wrestling/athlete-profile-n1344507-datunashvili-zurabi.htm,SRB,Men's Greco-Roman 87kg,Serbia,Wrestling
Gold,1,,KAWAI Y,KAWAI Yukako,W,../../../en/results/wrestling/athlete-profile-n1316580-kawai-yukako.htm,JPN,Women's Freestyle 62kg,Japan,Wrestling
Silver,2,,TYNYBEKOVA A,TYNYBEKOVA Aisuluu,W,../../../en/results/wrestling/athlete-profile-n1284273-tynybekova-aisuluu.htm,KGZ,Women's Freestyle 62kg,Kyrgyzstan,Wrestling
Bronze,3,,KOLIADENKO I,KOLIADENKO Iryna,W,../../../en/results/wrestling/athlete-profile-n1483815-koliadenko-iryna.htm,UKR,Women's Freestyle 62kg,Ukraine,Wrestling
Bronze,3,,YUSEIN TM,YUSEIN Taybe Mustafa,W,../../../en/results/wrestling/athlete-profile-n1319867-yusein-taybe-mustafa.htm,BUL,Women's Freestyle 62kg,Bulgaria,Wrestling
Gold,1,,PARCHMENT H,PARCHMENT Hansle,M,../../../en/results/athletics/athlete-profile-n1420591-parchment-hansle.htm,JAM,Men's 110m Hurdles,Jamaica,Athletics
Silver,2,,HOLLOWAY G,HOLLOWAY Grant,M,../../../en/results/athletics/athlete-profile-n1457989-holloway-grant.htm,USA,Men's 110m Hurdles,United States of America,Athletics
Bronze,3,,LEVY R,LEVY Ronald,M,../../../en/results/athletics/athlete-profile-n1420583-levy-ronald.htm,JAM,Men's 110m Hurdles,Jamaica,Athletics
Gold,1,,STANO M,STANO Massimo,M,../../../en/results/athletics/athlete-profile-n1299102-stano-massimo.htm,ITA,Men's 20km Race Walk,Italy,Athletics
Silver,2,,IKEDA K,IKEDA Koki,M,../../../en/results/athletics/athlete-profile-n1327187-ikeda-koki.htm,JPN,Men's 20km Race Walk,Japan,Athletics
Bronze,3,,YAMANISHI T,YAMANISHI Toshikazu,M,../../../en/results/athletics/athlete-profile-n1313137-yamanishi-toshikazu.htm,JPN,Men's 20km Race Walk,Japan,Athletics
Gold,1,,GARDINER S,GARDINER Steven,M,../../../en/results/athletics/athlete-profile-n1451068-gardiner-steven.htm,BAH,Men's 400m,Bahamas,Athletics
Silver,2,,ZAMBRANO AJ,ZAMBRANO Anthony Jose,M,../../../en/results/athletics/athlete-profile-n1410854-zambrano-anthony-jose.htm,COL,Men's 400m,Colombia,Athletics
Bronze,3,,JAMES K,JAMES Kirani,M,../../../en/results/athletics/athlete-profile-n1433123-james-kirani.htm,GRN,Men's 400m,Grenada,Athletics
Gold,1,,CROUSER R,CROUSER Ryan,M,../../../en/results/athletics/athlete-profile-n1458864-crouser-ryan.htm,USA,Men's Shot Put,United States of America,Athletics
Silver,2,,KOVACS J,KOVACS Joe,M,../../../en/results/athletics/athlete-profile-n1458206-kovacs-joe.htm,USA,Men's Shot Put,United States of America,Athletics
Bronze,3,,WALSH T,WALSH Tomas,M,../../../en/results/athletics/athlete-profile-n1469930-walsh-tomas.htm,NZL,Men's Shot Put,New Zealand,Athletics
Gold,1,,PICHARDO P,PICHARDO Pedro,M,../../../en/results/athletics/athlete-profile-n1450262-pichardo-pedro.htm,POR,Men's Triple Jump,Portugal,Athletics
Silver,2,,ZHU Y,ZHU Yaming,M,../../../en/results/athletics/athlete-profile-n1304895-zhu-yaming.htm,CHN,Men's Triple Jump,People's Republic of China,Athletics
Bronze,3,,ZANGO HF,ZANGO Hugues Fabrice,M,../../../en/results/athletics/athlete-profile-n1283425-zango-hugues-fabrice.htm,BUR,Men's Triple Jump,Burkina Faso,Athletics
Gold,1,,NAGEOTTE K,NAGEOTTE Katie,W,../../../en/results/athletics/athlete-profile-n1458399-nageotte-katie.htm,USA,Women's Pole Vault,United States of America,Athletics
Silver,2,,SIDOROVA A,SIDOROVA Anzhelika,W,../../../en/results/athletics/athlete-profile-n1431126-sidorova-anzhelika.htm,ROC,Women's Pole Vault,ROC,Athletics
Bronze,3,,BRADSHAW H,BRADSHAW Holly,W,../../../en/results/athletics/athlete-profile-n1477699-bradshaw-holly.htm,GBR,Women's Pole Vault,Great Britain,Athletics
Gold,1,,BATYRGAZIEV A,BATYRGAZIEV Albert,M,../../../en/results/boxing/athlete-profile-n1425892-batyrgaziev-albert.htm,ROC,Men's Feather (52-57kg),ROC,Boxing
Silver,2,,RAGAN D,RAGAN Duke,M,../../../en/results/boxing/athlete-profile-n1460085-ragan-duke.htm,USA,Men's Feather (52-57kg),United States of America,Boxing
Bronze,3,,BIBOSSINOV S,BIBOSSINOV Saken,M,../../../en/results/boxing/athlete-profile-n1307830-bibossinov-saken.htm,KAZ,Men's Fly (48-52kg),Kazakhstan,Boxing
Bronze,3,,TANAKA R,TANAKA Ryomei,M,../../../en/results/boxing/athlete-profile-n1316686-tanaka-ryomei.htm,JPN,Men's Fly (48-52kg),Japan,Boxing
Bronze,3,,MARCIAL E,MARCIAL Eumir,M,../../../en/results/boxing/athlete-profile-n1464328-marcial-eumir.htm,PHI,Men's Middle (69-75kg),Philippines,Boxing
Bronze,3,,BAKSHI G,BAKSHI Gleb,M,../../../en/results/boxing/athlete-profile-n1425895-bakshi-gleb.htm,ROC,Men's Middle (69-75kg),ROC,Boxing
Bronze,3,,SEESONDEE S,SEESONDEE Sudaporn,W,../../../en/results/boxing/athlete-profile-n1457484-seesondee-sudaporn.htm,THA,Women's Light (57-60kg),Thailand,Boxing
Bronze,3,,POTKONEN MMJ,POTKONEN Mira Marjut Johanna,W,../../../en/results/boxing/athlete-profile-n1304484-potkonen-mira-marjut-johanna.htm,FIN,Women's Light (57-60kg),Finland,Boxing
Gold,1,,V.d WESTHUYZEN J.,van der WESTHUYZEN Jean,M,../../../en/results/canoe-sprint/athlete-profile-n1342446-van-der-westhuyzen-jean.htm,AUS,Men's Kayak Double 1000m,,Canoe Sprint
Gold,1,,GREEN T,GREEN Thomas,M,../../../en/results/canoe-sprint/athlete-profile-n1342450-green-thomas.htm,AUS,Men's Kayak Double 1000m,,Canoe Sprint
Silver,2,,SCHOPF J,SCHOPF Jacob,M,../../../en/results/canoe-sprint/athlete-profile-n1333374-schopf-jacob.htm,GER,Men's Kayak Double 1000m,Germany,Canoe Sprint
Silver,2,,HOFF M,HOFF Max,M,../../../en/results/canoe-sprint/athlete-profile-n1333350-hoff-max.htm,GER,Men's Kayak Double 1000m,Germany,Canoe Sprint
Bronze,3,,DOSTAL J,DOSTAL Josef,M,../../../en/results/canoe-sprint/athlete-profile-n1449401-dostal-josef.htm,CZE,Men's Kayak Double 1000m,Czech Republic,Canoe Sprint
Bronze,3,,SLOUF R,SLOUF Radek,M,../../../en/results/canoe-sprint/athlete-profile-n1432305-slouf-radek.htm,CZE,Men's Kayak Double 1000m,Czech Republic,Canoe Sprint
Gold,1,,TOTKA S,TOTKA Sandor,M,../../../en/results/canoe-sprint/athlete-profile-n1303725-totka-sandor.htm,HUN,Men's Kayak Single 200m,Hungary,Canoe Sprint
Silver,2,,RIZZA M,RIZZA Manfredi,M,../../../en/results/canoe-sprint/athlete-profile-n1321762-rizza-manfredi.htm,ITA,Men's Kayak Single 200m,Italy,Canoe Sprint
Bronze,3,,HEATH L,HEATH Liam,M,../../../en/results/canoe-sprint/athlete-profile-n1444065-heath-liam.htm,GBR,Men's Kayak Single 200m,Great Britain,Canoe Sprint
Gold,1,,HARRISON N,HARRISON Nevin,W,../../../en/results/canoe-sprint/athlete-profile-n1335386-harrison-nevin.htm,USA,Women's Canoe Single 200m,United States of America,Canoe Sprint
Silver,2,,VINCENT-LAPOINTE L,VINCENT-LAPOINTE Laurence,W,../../../en/results/canoe-sprint/athlete-profile-n1433179-vincent-lapointe-laurence.htm,CAN,Women's Canoe Single 200m,Canada,Canoe Sprint
Bronze,3,,LUZAN L,LUZAN Liudmyla,W,../../../en/results/canoe-sprint/athlete-profile-n1334797-luzan-liudmyla.htm,UKR,Women's Canoe Single 200m,Ukraine,Canoe Sprint
Gold,1,,CARRINGTON L,CARRINGTON Lisa,W,../../../en/results/canoe-sprint/athlete-profile-n1459729-carrington-lisa.htm,NZL,Women's Kayak Single 500m,New Zealand,Canoe Sprint
Silver,2,,CSIPES T,CSIPES Tamara,W,../../../en/results/canoe-sprint/athlete-profile-n1302771-csipes-tamara.htm,HUN,Women's Kayak Single 500m,Hungary,Canoe Sprint
Bronze,3,,JORGENSEN EA,JORGENSEN Emma Aastrand,W,../../../en/results/canoe-sprint/athlete-profile-n1366771-jorgensen-emma-aastrand.htm,DEN,Women's Kayak Single 500m,,Canoe Sprint
Gold,1,,WALLS M,WALLS Matthew,M,../../../en/results/cycling-track/athlete-profile-n1474980-walls-matthew.htm,GBR,Men's Omnium,Great Britain,Cycling Track
Silver,2,,STEWART C,STEWART Campbell,M,../../../en/results/cycling-track/athlete-profile-n1470186-stewart-campbell.htm,NZL,Men's Omnium,New Zealand,Cycling Track
Bronze,3,,VIVIANI E,VIVIANI Elia,M,../../../en/results/cycling-track/athlete-profile-n1346201-viviani-elia.htm,ITA,Men's Omnium,Italy,Cycling Track
Gold,1,,BRASPENNINCX S,BRASPENNINCX Shanne,W,../../../en/results/cycling-track/athlete-profile-n1467906-braspennincx-shanne.htm,NED,Women's Keirin,Netherlands,Cycling Track
Silver,2,,ANDREWS E,ANDREWS Ellesse,W,../../../en/results/cycling-track/athlete-profile-n1470165-andrews-ellesse.htm,NZL,Women's Keirin,New Zealand,Cycling Track
Bronze,3,,GENEST L,GENEST Lauriane,W,../../../en/results/cycling-track/athlete-profile-n1450846-genest-lauriane.htm,CAN,Women's Keirin,Canada,Cycling Track
Gold,1,,QUAN H,QUAN Hongchan,W,../../../en/results/diving/athlete-profile-n1409063-quan-hongchan.htm,CHN,Women's 10m Platform,People's Republic of China,Diving
Silver,2,,CHEN Y,CHEN Yuxi,W,../../../en/results/diving/athlete-profile-n1329854-chen-yuxi.htm,CHN,Women's 10m Platform,People's Republic of China,Diving
Bronze,3,,WU M,WU Melissa,W,../../../en/results/diving/athlete-profile-n1483041-wu-melissa.htm,AUS,Women's 10m Platform,,Diving
Gold,1,,BOCCARD G,BOCCARD Gauthier,M,../../../en/results/hockey/athlete-profile-n1393600-boccard-gauthier.htm,BEL,Men,Belgium,Hockey
Gold,1,,de KERPEL N,de KERPEL Nicolas,M,../../../en/results/hockey/athlete-profile-n1393602-de-kerpel-nicolas.htm,BEL,Men,Belgium,Hockey
Gold,1,,de SLOOVER A,de SLOOVER Arthur Anne-Marie Thierr,M,../../../en/results/hockey/athlete-profile-n1393603-de-sloover-arthur-anne-marie-thierr.htm,BEL,Men,Belgium,Hockey
Gold,1,,HENDRICKX ARP,HENDRICKX Alexander Robby P,M,../../../en/results/hockey/athlete-profile-n1393605-hendrickx-alexander-robby-p.htm,BEL,Men,Belgium,Hockey
Gold,1,,LUYPAERT LFA,LUYPAERT Loick Fanny A,M,../../../en/results/hockey/athlete-profile-n1393607-luypaert-loick-fanny-a.htm,BEL,Men,Belgium,Hockey
Gold,1,,van AUBEL F,van AUBEL Florent,M,../../../en/results/hockey/athlete-profile-n1393611-van-aubel-florent.htm,BEL,Men,Belgium,Hockey
Gold,1,,VANASCH V,VANASCH Vincent,M,../../../en/results/hockey/athlete-profile-n1393613-vanasch-vincent.htm,BEL,Men,Belgium,Hockey
Gold,1,,BOON TA,BOON Tom Alain,M,../../../en/results/hockey/athlete-profile-n1401977-boon-tom-alain.htm,BEL,Men,Belgium,Hockey
Gold,1,,BRIELS T,BRIELS Thomas,M,../../../en/results/hockey/athlete-profile-n1401978-briels-thomas.htm,BEL,Men,Belgium,Hockey
Gold,1,,CHARLIER CDA,CHARLIER Cedric Daniel Andre,M,../../../en/results/hockey/athlete-profile-n1401979-charlier-cedric-daniel-andre.htm,BEL,Men,Belgium,Hockey
Gold,1,,DENAYER FVB,DENAYER Felix Veronique B.,M,../../../en/results/hockey/athlete-profile-n1401981-denayer-felix-veronique-b-.htm,BEL,Men,Belgium,Hockey
Gold,1,,DOCKIER S,DOCKIER Sebastien,M,../../../en/results/hockey/athlete-profile-n1401982-dockier-sebastien.htm,BEL,Men,Belgium,Hockey
Gold,1,,GOUGNARD SPF,GOUGNARD Simon Pierre F,M,../../../en/results/hockey/athlete-profile-n1401983-gougnard-simon-pierre-f.htm,BEL,Men,Belgium,Hockey
Gold,1,,KINA AST,KINA Antoine Sylvain T,M,../../../en/results/hockey/athlete-profile-n1401984-kina-antoine-sylvain-t.htm,BEL,Men,Belgium,Hockey
Gold,1,,MEURMANS AJJ,MEURMANS Augustin Jean J,M,../../../en/results/hockey/athlete-profile-n1401985-meurmans-augustin-jean-j.htm,BEL,Men,Belgium,Hockey
Gold,1,,WEGNEZ VNB,WEGNEZ Victor Nicky B,M,../../../en/results/hockey/athlete-profile-n1401988-wegnez-victor-nicky-b.htm,BEL,Men,Belgium,Hockey
Gold,1,,van DOREN A,van DOREN Arthur,M,../../../en/results/hockey/athlete-profile-n1413173-van-doren-arthur.htm,BEL,Men,Belgium,Hockey
Gold,1,,DOHMEN JJDM,DOHMEN John-John Dominique M,M,../../../en/results/hockey/athlete-profile-n1465067-dohmen-john-john-dominique-m.htm,BEL,Men,Belgium,Hockey
Silver,2,,CHARTER AL,CHARTER Andrew Lewis,M,../../../en/results/hockey/athlete-profile-n1483090-charter-andrew-lewis.htm,AUS,Men,,Hockey
Silver,2,,MITTON TG,MITTON Trent Grant,M,../../../en/results/hockey/athlete-profile-n1483092-mitton-trent-grant.htm,AUS,Men,,Hockey
Silver,2,,OCKENDEN EC,OCKENDEN Edward Clive,M,../../../en/results/hockey/athlete-profile-n1483093-ockenden-edward-clive.htm,AUS,Men,,Hockey
Silver,2,,WHETTON JT,WHETTON Jacob Thomas,M,../../../en/results/hockey/athlete-profile-n1483095-whetton-jacob-thomas.htm,AUS,Men,,Hockey
Silver,2,,ZALEWSKI A,ZALEWSKI Aran,M,../../../en/results/hockey/athlete-profile-n1483096-zalewski-aran.htm,AUS,Men,,Hockey
Silver,2,,BEALE DJ,BEALE Daniel James,M,../../../en/results/hockey/athlete-profile-n1483097-beale-daniel-james.htm,AUS,Men,,Hockey
Silver,2,,WICKHAM TJ,WICKHAM Tom Joseph,M,../../../en/results/hockey/athlete-profile-n1483098-wickham-tom-joseph.htm,AUS,Men,,Hockey
Silver,2,,DAWSON M,DAWSON Matthew,M,../../../en/results/hockey/athlete-profile-n1483099-dawson-matthew.htm,AUS,Men,,Hockey
Silver,2,,BRAND T,BRAND Tim,M,../../../en/results/hockey/athlete-profile-n1483102-brand-tim.htm,AUS,Men,,Hockey
Silver,2,,GOVERS B,GOVERS Blake,M,../../../en/results/hockey/athlete-profile-n1483103-govers-blake.htm,AUS,Men,,Hockey
Silver,2,,OGILVIE FA,OGILVIE Flynn Andrew,M,../../../en/results/hockey/athlete-profile-n1483104-ogilvie-flynn-andrew.htm,AUS,Men,,Hockey
Silver,2,,CRAIG TW,CRAIG Thomas William,M,../../../en/results/hockey/athlete-profile-n1483105-craig-thomas-william.htm,AUS,Men,,Hockey
Silver,2,,HOWARD T,HOWARD Tim,M,../../../en/results/hockey/athlete-profile-n1483106-howard-tim.htm,AUS,Men,,Hockey
Silver,2,,BELTZ J,BELTZ Joshua,M,../../../en/results/hockey/athlete-profile-n1483108-beltz-joshua.htm,AUS,Men,,Hockey
Silver,2,,HAYWARD JT,HAYWARD Jeremy Thomas,M,../../../en/results/hockey/athlete-profile-n1483110-hayward-jeremy-thomas.htm,AUS,Men,,Hockey
Silver,2,,SHARP LT,SHARP Lachlan Thomas,M,../../../en/results/hockey/athlete-profile-n1483111-sharp-lachlan-thomas.htm,AUS,Men,,Hockey
Silver,2,,SIMMONDS J,SIMMONDS Joshua,M,../../../en/results/hockey/athlete-profile-n1483112-simmonds-joshua.htm,AUS,Men,,Hockey
Silver,2,,MARTIN D,MARTIN Dylan,M,../../../en/results/hockey/athlete-profile-n1483116-martin-dylan.htm,AUS,Men,,Hockey
Bronze,3,,PARATTU RAVEENDRAN,PARATTU RAVEENDRAN Sreejesh,M,../../../en/results/hockey/athlete-profile-n1308654-parattu-raveendran-sreejesh.htm,IND,Men,India,Hockey
Bronze,3,,SINGH H,SINGH Harmanpreet,M,../../../en/results/hockey/athlete-profile-n1308684-singh-harmanpreet.htm,IND,Men,India,Hockey
Bronze,3,,LAKRA B,LAKRA Birendra,M,../../../en/results/hockey/athlete-profile-n1308685-lakra-birendra.htm,IND,Men,India,Hockey
Bronze,3,,KUMAR S,KUMAR Surender,M,../../../en/results/hockey/athlete-profile-n1308686-kumar-surender.htm,IND,Men,India,Hockey
Bronze,3,,ROHIDAS A,ROHIDAS Amit,M,../../../en/results/hockey/athlete-profile-n1308687-rohidas-amit.htm,IND,Men,India,Hockey
Bronze,3,,KUMAR V,KUMAR Varun,M,../../../en/results/hockey/athlete-profile-n1308688-kumar-varun.htm,IND,Men,India,Hockey
Bronze,3,,SINGH RP,SINGH Rupinder Pal,M,../../../en/results/hockey/athlete-profile-n1308689-singh-rupinder-pal.htm,IND,Men,India,Hockey
Bronze,3,,SINGH M,SINGH Manpreet,M,../../../en/results/hockey/athlete-profile-n1308694-singh-manpreet.htm,IND,Men,India,Hockey
Bronze,3,,SUMIT,SUMIT,M,../../../en/results/hockey/athlete-profile-n1308695-sumit.htm,IND,Men,India,Hockey
Bronze,3,,SHARMA N,SHARMA Nilakanta,M,../../../en/results/hockey/athlete-profile-n1308696-sharma-nilakanta.htm,IND,Men,India,Hockey
Bronze,3,,SINGH H,SINGH Hardik,M,../../../en/results/hockey/athlete-profile-n1308698-singh-hardik.htm,IND,Men,India,Hockey
Bronze,3,,PRASAD VS,PRASAD Vivek Sagar,M,../../../en/results/hockey/athlete-profile-n1308699-prasad-vivek-sagar.htm,IND,Men,India,Hockey
Bronze,3,,SINGH M,SINGH Mandeep,M,../../../en/results/hockey/athlete-profile-n1308702-singh-mandeep.htm,IND,Men,India,Hockey
Bronze,3,,SINGH S,SINGH Shamsher,M,../../../en/results/hockey/athlete-profile-n1308705-singh-shamsher.htm,IND,Men,India,Hockey
Bronze,3,,UPADHYAY LK,UPADHYAY Lalit Kumar,M,../../../en/results/hockey/athlete-profile-n1308707-upadhyay-lalit-kumar.htm,IND,Men,India,Hockey
Bronze,3,,SINGH S,SINGH Simranjeet,M,../../../en/results/hockey/athlete-profile-n1308708-singh-simranjeet.htm,IND,Men,India,Hockey
Bronze,3,,SINGH D,SINGH Dilpreet,M,../../../en/results/hockey/athlete-profile-n1308710-singh-dilpreet.htm,IND,Men,India,Hockey
Bronze,3,,SINGH G,SINGH Gurjant,M,../../../en/results/hockey/athlete-profile-n1308711-singh-gurjant.htm,IND,Men,India,Hockey
Gold,1,,da COSTA S,da COSTA Steven,M,../../../en/results/karate/athlete-profile-n1310945-da-costa-steven.htm,FRA,Men's Kumite -67kg,France,Karate
Silver,2,,SAMDAN E,SAMDAN Eray,M,../../../en/results/karate/athlete-profile-n1325280-samdan-eray.htm,TUR,Men's Kumite -67kg,Turkey,Karate
Bronze,3,,ALMASATFA AR,ALMASATFA Abdel Rahman,M,../../../en/results/karate/athlete-profile-n1406770-almasatfa-abdel-rahman.htm,JOR,Men's Kumite -67kg,Jordan,Karate
Bronze,3,,ASSADILOV D,ASSADILOV Darkhan,M,../../../en/results/karate/athlete-profile-n1304791-assadilov-darkhan.htm,KAZ,Men's Kumite -67kg,Kazakhstan,Karate
Gold,1,,SANCHEZ JAIME S,SANCHEZ JAIME Sandra,W,../../../en/results/karate/athlete-profile-n1337340-sanchez-jaime-sandra.htm,ESP,Women's Kata,Spain,Karate
Silver,2,,SHIMIZU K,SHIMIZU Kiyou,W,../../../en/results/karate/athlete-profile-n1315384-shimizu-kiyou.htm,JPN,Women's Kata,Japan,Karate
Bronze,3,,LAU MSG,LAU Mo Sheung Grace,W,../../../en/results/karate/athlete-profile-n1399347-lau-mo-sheung-grace.htm,HKG,Women's Kata,"Hong Kong, China",Karate
Bronze,3,,BOTTARO V,BOTTARO Viviana,W,../../../en/results/karate/athlete-profile-n1337868-bottaro-viviana.htm,ITA,Women's Kata,Italy,Karate
Gold,1,,GORANOVA I,GORANOVA Ivet,W,../../../en/results/karate/athlete-profile-n1328509-goranova-ivet.htm,BUL,Women's Kumite -55kg,Bulgaria,Karate
Silver,2,,TERLIUGA A,TERLIUGA Anzhelika,W,../../../en/results/karate/athlete-profile-n1337148-terliuga-anzhelika.htm,UKR,Women's Kumite -55kg,Ukraine,Karate
Bronze,3,,PLANK B,PLANK Bettina,W,../../../en/results/karate/athlete-profile-n1334480-plank-bettina.htm,AUT,Women's Kumite -55kg,Austria,Karate
Bronze,3,,WEN T,WEN Tzuyun,W,../../../en/results/karate/athlete-profile-n1335765-wen-tzuyun.htm,TPE,Women's Kumite -55kg,Chinese Taipei,Karate
Gold,1,,WELLBROCK F,WELLBROCK Florian,M,../../../en/results/marathon-swimming/athlete-profile-n1350550-wellbrock-florian.htm,GER,Men's 10km,Germany,Marathon Swimming
Silver,2,,RASOVSZKY K,RASOVSZKY Kristof,M,../../../en/results/marathon-swimming/athlete-profile-n1365887-rasovszky-kristof.htm,HUN,Men's 10km,Hungary,Marathon Swimming
Bronze,3,,PALTRINIERI G,PALTRINIERI Gregorio,M,../../../en/results/marathon-swimming/athlete-profile-n1343289-paltrinieri-gregorio.htm,ITA,Men's 10km,Italy,Marathon Swimming
Gold,1,,PALMER K,PALMER Keegan,M,../../../en/results/skateboarding/athlete-profile-n1484243-palmer-keegan.htm,AUS,Men's Park,,Skateboarding
Silver,2,,BARROS P,BARROS Pedro,M,../../../en/results/skateboarding/athlete-profile-n1351790-barros-pedro.htm,BRA,Men's Park,Brazil,Skateboarding
Bronze,3,,JUNEAU C,JUNEAU Cory,M,../../../en/results/skateboarding/athlete-profile-n1342535-juneau-cory.htm,USA,Men's Park,United States of America,Skateboarding
Gold,1,,GINES LOPEZ A,GINES LOPEZ Alberto,M,../../../en/results/sport-climbing/athlete-profile-n1305604-gines-lopez-alberto.htm,ESP,Men's Combined,Spain,Sport Climbing
Silver,2,,COLEMAN N,COLEMAN Nathaniel,M,../../../en/results/sport-climbing/athlete-profile-n1317876-coleman-nathaniel.htm,USA,Men's Combined,United States of America,Sport Climbing
Bronze,3,,SCHUBERT J,SCHUBERT Jakob,M,../../../en/results/sport-climbing/athlete-profile-n1334490-schubert-jakob.htm,AUT,Men's Combined,Austria,Sport Climbing
Gold,1,,CHEN M,CHEN Meng,W,../../../en/results/table-tennis/athlete-profile-n1322041-chen-meng.htm,CHN,Women's Team,People's Republic of China,Table Tennis
Gold,1,,SUN Y,SUN Yingsha,W,../../../en/results/table-tennis/athlete-profile-n1322049-sun-yingsha.htm,CHN,Women's Team,People's Republic of China,Table Tennis
Gold,1,,WANG M,WANG Manyu,W,../../../en/results/table-tennis/athlete-profile-n1324813-wang-manyu.htm,CHN,Women's Team,People's Republic of China,Table Tennis
Silver,2,,ISHIKAWA K,ISHIKAWA Kasumi,W,../../../en/results/table-tennis/athlete-profile-n1316128-ishikawa-kasumi.htm,JPN,Women's Team,Japan,Table Tennis
Silver,2,,HIRANO M,HIRANO Miu,W,../../../en/results/table-tennis/athlete-profile-n1316129-hirano-miu.htm,JPN,Women's Team,Japan,Table Tennis
Silver,2,,ITO M,ITO Mima,W,../../../en/results/table-tennis/athlete-profile-n1316127-ito-mima.htm,JPN,Women's Team,Japan,Table Tennis
Bronze,3,,DOO HK,DOO Hoi Kem,W,../../../en/results/table-tennis/athlete-profile-n1407907-doo-hoi-kem.htm,HKG,Women's Team,"Hong Kong, China",Table Tennis
Bronze,3,,LEE HC,LEE Ho Ching,W,../../../en/results/table-tennis/athlete-profile-n1407908-lee-ho-ching.htm,HKG,Women's Team,"Hong Kong, China",Table Tennis
Bronze,3,,SOO WYM,SOO Wai Yam Minnie,W,../../../en/results/table-tennis/athlete-profile-n1407909-soo-wai-yam-minnie.htm,HKG,Women's Team,"Hong Kong, China",Table Tennis
Gold,1,,UGUEV Z,UGUEV Zavur,M,../../../en/results/wrestling/athlete-profile-n1436290-uguev-zavur.htm,ROC,Men's Freestyle 57kg,ROC,Wrestling
Silver,2,,RAVI K,RAVI Kumar,M,../../../en/results/wrestling/athlete-profile-n1339454-ravi-kumar.htm,IND,Men's Freestyle 57kg,India,Wrestling
Bronze,3,,SANAYEV N,SANAYEV Nurislam,M,../../../en/results/wrestling/athlete-profile-n1374175-sanayev-nurislam.htm,KAZ,Men's Freestyle 57kg,Kazakhstan,Wrestling
Bronze,3,,GILMAN TP,GILMAN Thomas Patrick,M,../../../en/results/wrestling/athlete-profile-n1348078-gilman-thomas-patrick.htm,USA,Men's Freestyle 57kg,United States of America,Wrestling
Gold,1,,TAYLOR III DM,TAYLOR III David Morris,M,../../../en/results/wrestling/athlete-profile-n1347839-taylor-iii-david-morris.htm,USA,Men's Freestyle 86kg,United States of America,Wrestling
Silver,2,,YAZDANICHARATI H,YAZDANICHARATI Hassan,M,../../../en/results/wrestling/athlete-profile-n1286864-yazdanicharati-hassan.htm,IRI,Men's Freestyle 86kg,Islamic Republic of Iran,Wrestling
