name,short_name,gender,birth_date,country,discipline,function,event,url
ENGELLAND Chip,ENGELLAND C,Male,1961-05-07,United States of America,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1742113-engelland-chip.htm
ENQUIST Susan,ENQUIST S,Female,1957-08-24,United States of America,Volleyball,Head Coach,,../../../en/results/volleyball/athlete-profile-n1461070-enquist-susan.htm
ERIKSEN Ken,ERIKSEN K,Male,1961-01-31,United States of America,Baseball/Softball,Head Coach,Softball,../../../en/results/baseball-softball/athlete-profile-n1310197-eriksen-ken.htm
ESTRADA Hector,ESTRADA H,Male,1968-10-23,Mexico,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1311216-estrada-hector.htm
EWING Gareth,EWING G,Male,1974-03-13,South Africa,Hockey,Head Coach,Men,../../../en/results/hockey/athlete-profile-n1309583-ewing-gareth.htm
FABRE Julie,FABRE J,Female,1976-06-27,France,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1334710-fabre-julie.htm
FALERO Miguel,FALERO M,Male,1957-05-17,Uruguay,Football,Head Coach,Men,../../../en/results/football/athlete-profile-n1361933-falero-miguel.htm
FARINELLI Roberta,FARINELLI R,Female,1970-02-06,Italy,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1310729-farinelli-roberta.htm
FARINELLI Roberta,FARINELLI R,Female,1970-02-06,Italy,Artistic Swimming,Coach,Team,../../../en/results/artistic-swimming/athlete-profile-n1310729-farinelli-roberta.htm
FATOVIC Elvis,FATOVIC E,Male,1971-05-08,Australia,Water Polo,Head Coach,Men,../../../en/results/water-polo/athlete-profile-n1483221-fatovic-elvis.htm
FAVAREL Pablo,FAVAREL P,Male,1983-10-14,Argentina,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1418935-favarel-pablo.htm
FENSTER Darren,FENSTER D,Male,1978-09-11,United States of America,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1460632-fenster-darren.htm
FERRARO Hernan ,FERRARO H,Male,1968-05-13,Argentina,Volleyball,Head Coach,Women,../../../en/results/volleyball/athlete-profile-n1365435-ferraro-hernan-.htm
FISH Nate,FISH N,Male,1980-01-02,United States of America,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1424133-fish-nate.htm
FLOWERS Tairia,FLOWERS T,Female,1981-01-09,United States of America,Baseball/Softball,Coach,Softball,../../../en/results/baseball-softball/athlete-profile-n1310190-flowers-tairia.htm
FOIREST Laurent,FOIREST L,Male,1973-09-18,France,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1337892-foirest-laurent.htm
FORREST Scott,FORREST S,Male,1984-08-06,Great Britain,Rugby Sevens,Head Coach,Women,../../../en/results/rugby-sevens/athlete-profile-n1468854-forrest-scott.htm
FRIDAY Mike,FRIDAY M,Male,1972-04-25,Great Britain,Rugby Sevens,Head Coach,Men,../../../en/results/rugby-sevens/athlete-profile-n1317938-friday-mike.htm
FUENTES Andrea,FUENTES A,Female,1983-04-07,Spain,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1302349-fuentes-andrea.htm
FUERBRINGER Matthew,FUERBRINGER M,Male,1974-01-29,Canada,Volleyball,Head Coach,,../../../en/results/volleyball/athlete-profile-n1298691-fuerbringer-matthew.htm
FUJIKI Mayuko,FUJIKI M,Female,1975-06-21,Japan,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1328014-fujiki-mayuko.htm
FUJIKI Mayuko,FUJIKI M,Female,1975-06-21,Japan,Artistic Swimming,Coach,Team,../../../en/results/artistic-swimming/athlete-profile-n1328014-fujiki-mayuko.htm
FULI Saiasi,FULI S,Male,1978-03-16,Fiji,Rugby Sevens,Head Coach,Women,../../../en/results/rugby-sevens/athlete-profile-n1282562-fuli-saiasi.htm
GADEMAN Pasha,GADEMAN P,Male,1988-03-06,Netherlands,Hockey,Head Coach,Men,../../../en/results/hockey/athlete-profile-n1433923-gademan-pasha.htm
GAIDUKOV Aleksandr,GAIDUKOV A,Male,1974-01-10,ROC,Water Polo,Head Coach,Women,../../../en/results/water-polo/athlete-profile-n1427979-gaidukov-aleksandr.htm
GARCIA Manuel,GARCIA M,Male,1989-03-08,Dominican Republic,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1469732-garcia-manuel.htm
GARCIA Nestor,GARCIA N,Male,1965-11-01,Argentina,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1469223-garcia-nestor.htm
GARCIA PIZARRO Paula,GARCIA PIZARRO P,Female,1978-11-10,Colombia,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1383998-garcia-pizarro-paula.htm
GARNIER Valerie,GARNIER V,Female,1965-01-09,France,Basketball,Coach,Women,../../../en/results/basketball/athlete-profile-n1337973-garnier-valerie.htm
GERHARDSSON Peter,GERHARDSSON P,Male,1959-08-22,Sweden,Football,Head Coach,Women,../../../en/results/football/athlete-profile-n1380663-gerhardsson-peter.htm
GIACOBBE Antonio,GIACOBBE A,Male,1947-02-12,Italy,Volleyball,Head Coach,Men,../../../en/results/volleyball/athlete-profile-n1331527-giacobbe-antonio.htm
GIALLOMBARDO Patrizia,GIALLOMBARDO P,Female,1964-07-19,Italy,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1310727-giallombardo-patrizia.htm
GIALLOMBARDO Patrizia,GIALLOMBARDO P,Female,1964-07-19,Italy,Artistic Swimming,Coach,Team,../../../en/results/artistic-swimming/athlete-profile-n1310727-giallombardo-patrizia.htm
GILLE Guillaume,GILLE G,Male,1976-07-12,France,Handball,Coach,Men,../../../en/results/handball/athlete-profile-n1350283-gille-guillaume.htm
GINZBURG Ronen,GINZBURG R,Male,1963-09-19,Israel,Basketball,Coach,Men,../../../en/results/basketball/athlete-profile-n1432594-ginzburg-ronen.htm
GISLASON Alfred,GISLASON A,Male,1959-09-07,Iceland,Handball,Coach,Men,../../../en/results/handball/athlete-profile-n1345546-gislason-alfred.htm
GOJKOVIC Vladimir,GOJKOVIC V,Male,1981-01-29,Montenegro,Water Polo,Head Coach,Men,../../../en/results/water-polo/athlete-profile-n1308641-gojkovic-vladimir.htm
GOMEZ CORA Santiago,GOMEZ CORA S,Male,1978-07-25,Argentina,Rugby Sevens,Head Coach,Men,../../../en/results/rugby-sevens/athlete-profile-n1362712-gomez-cora-santiago.htm
GOMEZ Gilbert,GOMEZ G,Male,1992-03-08,Dominican Republic,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1469785-gomez-gilbert.htm
GONZALEZ Anibal,GONZALEZ A,Male,1989-04-03,Spain,Football,Head Coach,,../../../en/results/football/athlete-profile-n1303890-gonzalez-anibal.htm
GONZALEZ JARENO Angel,GONZALEZ JARENO A,Male,1960-12-07,Spain,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1400378-gonzalez-jareno-angel.htm
GOORJIAN Brian Warwick,GOORJIAN B,Male,1953-06-28,Australia,Basketball,Coach,Men,../../../en/results/basketball/athlete-profile-n1483492-goorjian-brian-warwick.htm
GORDO MANSILLA Juan David,GORDO MANSILLA J,Male,1970-02-02,Spain,Football,Head Coach,,../../../en/results/football/athlete-profile-n1328156-gordo-mansilla-juan-david.htm
GRAINGER Adam,GRAINGER A,Male,1980-07-06,Ireland,Hockey,Coach,,../../../en/results/hockey/athlete-profile-n1282063-grainger-adam.htm
GRAUPERA Cristina,GRAUPERA C,Female,1993-08-03,Greece,Artistic Swimming,Coach,,../../../en/results/artistic-swimming/athlete-profile-n1912263-graupera-cristina.htm
GRAZIOSI Gianluca,GRAZIOSI G,Male,1965-10-01,Italy,Volleyball,Head Coach,,../../../en/results/volleyball/athlete-profile-n1348454-graziosi-gianluca.htm
GRESKOWIAK Arne,GRESKOWIAK A,Male,1984-07-28,Germany,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1602142-greskowiak-arne.htm
GRYZUNOVA Elena,GRYZUNOVA E,Female,1960-01-28,ROC,Artistic Swimming,Coach,Team,../../../en/results/artistic-swimming/athlete-profile-n1431713-gryzunova-elena.htm
GUERRERO LOPEZ Julen,GUERRERO LOPEZ J,Male,1974-01-07,Spain,Football,Head Coach,,../../../en/results/football/athlete-profile-n1328157-guerrero-lopez-julen.htm
GUERRERO Rolando,GUERRERO R,Male,1962-10-14,Mexico,Baseball/Softball,Coach,Softball,../../../en/results/baseball-softball/athlete-profile-n1306760-guerrero-rolando.htm
GUERRERO Rolando,GUERRERO R,Male,1996-06-27,Mexico,Baseball/Softball,Coach,Softball,../../../en/results/baseball-softball/athlete-profile-n1306761-guerrero-rolando.htm
GUIDETTI Giovanni,GUIDETTI G,Male,1972-09-27,Italy,Volleyball,Head Coach,Women,../../../en/results/volleyball/athlete-profile-n1343709-guidetti-giovanni.htm
GUILLEN Ronald,GUILLEN R,Male,1983-05-29,Venezuela,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1451638-guillen-ronald.htm
GUIMARAES Jose Roberto,GUIMARAES JR,Male,1954-07-31,Brazil,Volleyball,Head Coach,Women,../../../en/results/volleyball/athlete-profile-n1353935-guimaraes-jose-roberto.htm
GUSTAVSSON Tony,GUSTAVSSON T,Male,1973-08-14,Sweden,Football,Head Coach,Women,../../../en/results/football/athlete-profile-n1482750-gustavsson-tony.htm
HAGER Mark,HAGER M,Male,1964-04-28,Australia,Hockey,Head Coach,Women,../../../en/results/hockey/athlete-profile-n1444643-hager-mark.htm
HAIDARA Soualiho,HAIDARA S,Male,1974-12-30,Côte d'Ivoire,Football,Head Coach,Men,../../../en/results/football/athlete-profile-n1385379-haidara-soualiho.htm
HALD Simon,HALD S,Male,1994-09-28,Denmark,Handball,Coach,,../../../en/results/handball/athlete-profile-n1367064-hald-simon.htm
HALKETT Rhett,HALKETT R,Male,1986-05-02,South Africa,Hockey,Coach,,../../../en/results/hockey/athlete-profile-n1466845-halkett-rhett.htm
HAM Darvin de,HAM DD,Male,1973-07-23,United States of America,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1400529-ham-darvin-de.htm
HAMMETT Bianca,HAMMETT B.,Female,1990-09-12,Australia,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1302187-hammett-bianca.htm
HAMMETT Bianca,HAMMETT B.,Female,1990-09-12,Australia,Artistic Swimming,Coach,Team,../../../en/results/artistic-swimming/athlete-profile-n1302187-hammett-bianca.htm
HARDY William,HARDY W,Male,1988-01-21,United States of America,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1312745-hardy-william.htm
HARROW Laing,HARROW L,Male,1970-04-03,Australia,Baseball/Softball,Head Coach,Softball,../../../en/results/baseball-softball/athlete-profile-n1484459-harrow-laing.htm
HARVEY Laura,HARVEY L,Female,1980-05-15,Great Britain,Football,Head Coach,,../../../en/results/football/athlete-profile-n1332120-harvey-laura.htm
HAVENGA Arno,HAVENGA A,Male,1974-11-14,Netherlands,Water Polo,Head Coach,Women,../../../en/results/water-polo/athlete-profile-n1467486-havenga-arno.htm
