medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,country_code,discipline_code,event,country,discipline
Gold Medal,1,2021-08-01 00:00:00.0,SCHAUFFELE X,SCHAUFFELE Xander,M,../../../en/results/golf/athlete-profile-n1326353-schauffele-xander.htm,USA,GLF,Men's Individual Stroke Play,United States of America,Golf
Silver Medal,2,2021-08-01 00:00:00.0,SABBATINI R,SABBATINI Rory,M,../../../en/results/golf/athlete-profile-n1429157-sabbatini-rory.htm,SVK,GLF,Men's Individual Stroke Play,Slovakia,Golf
Bronze Medal,3,2021-08-01 00:00:00.0,PAN C T,PAN C T,M,../../../en/results/golf/athlete-profile-n1342626-pan-c-t.htm,TPE,GLF,Men's Individual Stroke Play,Chinese Taipei,Golf
Gold Medal,1,2021-08-01 00:00:00.0,WEARN M,WEARN Matt,M,../../../en/results/sailing/athlete-profile-n1484037-wearn-matt.htm,AUS,SAL,Men's One Person Dinghy - Laser,,Sailing
Silver Medal,2,2021-08-01 00:00:00.0,STIPANOVIC T,STIPANOVIC Tonci,M,../../../en/results/sailing/athlete-profile-n1337505-stipanovic-tonci.htm,CRO,SAL,Men's One Person Dinghy - Laser,Croatia,Sailing
Bronze Medal,3,2021-08-01 00:00:00.0,TOMASGAARD H,TOMASGAARD Hermann,M,../../../en/results/sailing/athlete-profile-n1346274-tomasgaard-hermann.htm,NOR,SAL,Men's One Person Dinghy - Laser,Norway,Sailing
Gold Medal,1,2021-08-01 00:00:00.0,RINDOM AM,RINDOM Anne-Marie,W,../../../en/results/sailing/athlete-profile-n1366695-rindom-anne-marie.htm,DEN,SAL,Women's One Person Dinghy - Laser Radial,,Sailing
Silver Medal,2,2021-08-01 00:00:00.0,OLSSON J,OLSSON Josefin,W,../../../en/results/sailing/athlete-profile-n1337907-olsson-josefin.htm,SWE,SAL,Women's One Person Dinghy - Laser Radial,Sweden,Sailing
Bronze Medal,3,2021-08-01 00:00:00.0,BOUWMEESTER M,BOUWMEESTER Marit,W,../../../en/results/sailing/athlete-profile-n1467596-bouwmeester-marit.htm,NED,SAL,Women's One Person Dinghy - Laser Radial,Netherlands,Sailing
Gold Medal,1,2021-08-01 00:00:00.0,FINKE R,FINKE Robert,M,../../../en/results/swimming/athlete-profile-n1302442-finke-robert.htm,USA,SWM,Men's 1500m Freestyle,United States of America,Swimming
Silver Medal,2,2021-08-01 00:00:00.0,ROMANCHUK M,ROMANCHUK Mykhailo,M,../../../en/results/swimming/athlete-profile-n1451911-romanchuk-mykhailo.htm,UKR,SWM,Men's 1500m Freestyle,Ukraine,Swimming
Bronze Medal,3,2021-08-01 00:00:00.0,WELLBROCK F,WELLBROCK Florian,M,../../../en/results/swimming/athlete-profile-n1350550-wellbrock-florian.htm,GER,SWM,Men's 1500m Freestyle,Germany,Swimming
Gold Medal,1,2021-08-01 00:00:00.0,ARMSTRONG J,ARMSTRONG Joseph,M,../../../en/results/swimming/athlete-profile-n1861918-armstrong-joseph.htm,USA,SWM,Men's 4 x 100m Medley Relay,United States of America,Swimming
Gold Medal,1,2021-08-01 00:00:00.0,WILSON A,WILSON Andrew,M,../../../en/results/swimming/athlete-profile-n1302234-wilson-andrew.htm,USA,SWM,Men's 4 x 100m Medley Relay,United States of America,Swimming
Gold Medal,1,2021-08-01 00:00:00.0,DRESSEL C,DRESSEL Caeleb,M,../../../en/results/swimming/athlete-profile-n1302244-dressel-caeleb.htm,USA,SWM,Men's 4 x 100m Medley Relay,United States of America,Swimming
Gold Medal,1,2021-08-01 00:00:00.0,APPLE Z,APPLE Zach,M,../../../en/results/swimming/athlete-profile-n1302461-apple-zach.htm,USA,SWM,Men's 4 x 100m Medley Relay,United States of America,Swimming
Gold Medal,1,2021-08-01 00:00:00.0,SHIELDS T,SHIELDS Tom,M,../../../en/results/swimming/athlete-profile-n1302456-shields-tom.htm,USA,SWM,Men's 4 x 100m Medley Relay,United States of America,Swimming
Gold Medal,1,2021-08-01 00:00:00.0,PIERONI B,PIERONI Blake,M,../../../en/results/swimming/athlete-profile-n1302339-pieroni-blake.htm,USA,SWM,Men's 4 x 100m Medley Relay,United States of America,Swimming
Gold Medal,1,2021-08-01 00:00:00.0,ANDREW M,ANDREW Michael,M,../../../en/results/swimming/athlete-profile-n1302312-andrew-michael.htm,USA,SWM,Men's 4 x 100m Medley Relay,United States of America,Swimming
Gold Medal,1,2021-08-01 00:00:00.0,MURPHY R,MURPHY Ryan,M,../../../en/results/swimming/athlete-profile-n1302446-murphy-ryan.htm,USA,SWM,Men's 4 x 100m Medley Relay,United States of America,Swimming
Silver Medal,2,2021-08-01 00:00:00.0,WILBY J,WILBY James,M,../../../en/results/swimming/athlete-profile-n1444199-wilby-james.htm,GBR,SWM,Men's 4 x 100m Medley Relay,Great Britain,Swimming
Silver Medal,2,2021-08-01 00:00:00.0,SCOTT D,SCOTT Duncan,M,../../../en/results/swimming/athlete-profile-n1444193-scott-duncan.htm,GBR,SWM,Men's 4 x 100m Medley Relay,Great Britain,Swimming
Silver Medal,2,2021-08-01 00:00:00.0,GREENBANK L,GREENBANK Luke,M,../../../en/results/swimming/athlete-profile-n1444169-greenbank-luke.htm,GBR,SWM,Men's 4 x 100m Medley Relay,Great Britain,Swimming
Silver Medal,2,2021-08-01 00:00:00.0,GUY J,GUY James,M,../../../en/results/swimming/athlete-profile-n1444170-guy-james.htm,GBR,SWM,Men's 4 x 100m Medley Relay,Great Britain,Swimming
Silver Medal,2,2021-08-01 00:00:00.0,PEATY A,PEATY Adam,M,../../../en/results/swimming/athlete-profile-n1444186-peaty-adam.htm,GBR,SWM,Men's 4 x 100m Medley Relay,Great Britain,Swimming
Bronze Medal,3,2021-08-01 00:00:00.0,MIRESSI A,MIRESSI Alessandro,M,../../../en/results/swimming/athlete-profile-n1343287-miressi-alessandro.htm,ITA,SWM,Men's 4 x 100m Medley Relay,Italy,Swimming
Bronze Medal,3,2021-08-01 00:00:00.0,MARTINENGHI N,MARTINENGHI Nicolo,M,../../../en/results/swimming/athlete-profile-n1350375-martinenghi-nicolo.htm,ITA,SWM,Men's 4 x 100m Medley Relay,Italy,Swimming
Bronze Medal,3,2021-08-01 00:00:00.0,CECCON T,CECCON Thomas,M,../../../en/results/swimming/athlete-profile-n1343280-ceccon-thomas.htm,ITA,SWM,Men's 4 x 100m Medley Relay,Italy,Swimming
Bronze Medal,3,2021-08-01 00:00:00.0,BURDISSO F,BURDISSO Federico,M,../../../en/results/swimming/athlete-profile-n1350398-burdisso-federico.htm,ITA,SWM,Men's 4 x 100m Medley Relay,Italy,Swimming
Gold Medal,1,2021-08-01 00:00:00.0,DRESSEL C,DRESSEL Caeleb,M,../../../en/results/swimming/athlete-profile-n1302244-dressel-caeleb.htm,USA,SWM,Men's 50m Freestyle,United States of America,Swimming
Silver Medal,2,2021-08-01 00:00:00.0,MANAUDOU F,MANAUDOU Florent,M,../../../en/results/swimming/athlete-profile-n1312287-manaudou-florent.htm,FRA,SWM,Men's 50m Freestyle,France,Swimming
Bronze Medal,3,2021-08-01 00:00:00.0,FRATUS B,FRATUS Bruno,M,../../../en/results/swimming/athlete-profile-n1328929-fratus-bruno.htm,BRA,SWM,Men's 50m Freestyle,Brazil,Swimming
Gold Medal,1,2021-08-01 00:00:00.0,O'CALLAGHAN M,O'CALLAGHAN Mollie,W,../../../en/results/swimming/athlete-profile-n1482917-o-callaghan-mollie.htm,AUS,SWM,Women's 4 x 100m Medley Relay,,Swimming
Gold Medal,1,2021-08-01 00:00:00.0,THROSSELL B,THROSSELL Brianna,W,../../../en/results/swimming/athlete-profile-n1482878-throssell-brianna.htm,AUS,SWM,Women's 4 x 100m Medley Relay,,Swimming
Gold Medal,1,2021-08-01 00:00:00.0,SEEBOHM E,SEEBOHM Emily,W,../../../en/results/swimming/athlete-profile-n1482881-seebohm-emily.htm,AUS,SWM,Women's 4 x 100m Medley Relay,,Swimming
Gold Medal,1,2021-08-01 00:00:00.0,HODGES C,HODGES Chelsea,W,../../../en/results/swimming/athlete-profile-n1482890-hodges-chelsea.htm,AUS,SWM,Women's 4 x 100m Medley Relay,,Swimming
Gold Medal,1,2021-08-01 00:00:00.0,McKEON E,McKEON Emma,W,../../../en/results/swimming/athlete-profile-n1482869-mckeon-emma.htm,AUS,SWM,Women's 4 x 100m Medley Relay,,Swimming
Gold Medal,1,2021-08-01 00:00:00.0,CAMPBELL C,CAMPBELL Cate,W,../../../en/results/swimming/athlete-profile-n1482861-campbell-cate.htm,AUS,SWM,Women's 4 x 100m Medley Relay,,Swimming
Gold Medal,1,2021-08-01 00:00:00.0,McKEOWN K,McKEOWN Kaylee,W,../../../en/results/swimming/athlete-profile-n1482870-mckeown-kaylee.htm,AUS,SWM,Women's 4 x 100m Medley Relay,,Swimming
Silver Medal,2,2021-08-01 00:00:00.0,SMITH R,SMITH Regan,W,../../../en/results/swimming/athlete-profile-n1302447-smith-regan.htm,USA,SWM,Women's 4 x 100m Medley Relay,United States of America,Swimming
Silver Medal,2,2021-08-01 00:00:00.0,KING L,KING Lilly,W,../../../en/results/swimming/athlete-profile-n1302307-king-lilly.htm,USA,SWM,Women's 4 x 100m Medley Relay,United States of America,Swimming
Silver Medal,2,2021-08-01 00:00:00.0,HUSKE T,HUSKE Torri,W,../../../en/results/swimming/athlete-profile-n1302457-huske-torri.htm,USA,SWM,Women's 4 x 100m Medley Relay,United States of America,Swimming
Silver Medal,2,2021-08-01 00:00:00.0,CURZAN C,CURZAN Claire,W,../../../en/results/swimming/athlete-profile-n1302242-curzan-claire.htm,USA,SWM,Women's 4 x 100m Medley Relay,United States of America,Swimming
Silver Medal,2,2021-08-01 00:00:00.0,WEITZEIL A,WEITZEIL Abbey,W,../../../en/results/swimming/athlete-profile-n1302233-weitzeil-abbey.htm,USA,SWM,Women's 4 x 100m Medley Relay,United States of America,Swimming
Silver Medal,2,2021-08-01 00:00:00.0,BROWN E,BROWN Erika,W,../../../en/results/swimming/athlete-profile-n1302262-brown-erika.htm,USA,SWM,Women's 4 x 100m Medley Relay,United States of America,Swimming
Silver Medal,2,2021-08-01 00:00:00.0,JACOBY L,JACOBY Lydia,W,../../../en/results/swimming/athlete-profile-n1790180-jacoby-lydia.htm,USA,SWM,Women's 4 x 100m Medley Relay,United States of America,Swimming
Silver Medal,2,2021-08-01 00:00:00.0,WHITE RE,WHITE Rhyan Elizabeth,W,../../../en/results/swimming/athlete-profile-n1790184-white-rhyan-elizabeth.htm,USA,SWM,Women's 4 x 100m Medley Relay,United States of America,Swimming
Bronze Medal,3,2021-08-01 00:00:00.0,RUCK T,RUCK Taylor,W,../../../en/results/swimming/athlete-profile-n1459651-ruck-taylor.htm,CAN,SWM,Women's 4 x 100m Medley Relay,Canada,Swimming
Bronze Medal,3,2021-08-01 00:00:00.0,MACNEIL M,MACNEIL Margaret,W,../../../en/results/swimming/athlete-profile-n1459652-macneil-margaret.htm,CAN,SWM,Women's 4 x 100m Medley Relay,Canada,Swimming
Bronze Medal,3,2021-08-01 00:00:00.0,SANCHEZ K,SANCHEZ Kayla,W,../../../en/results/swimming/athlete-profile-n1459675-sanchez-kayla.htm,CAN,SWM,Women's 4 x 100m Medley Relay,Canada,Swimming
Bronze Medal,3,2021-08-01 00:00:00.0,MASSE K,MASSE Kylie,W,../../../en/results/swimming/athlete-profile-n1459656-masse-kylie.htm,CAN,SWM,Women's 4 x 100m Medley Relay,Canada,Swimming
Bronze Medal,3,2021-08-01 00:00:00.0,PICKREM S,PICKREM Sydney,W,../../../en/results/swimming/athlete-profile-n1459684-pickrem-sydney.htm,CAN,SWM,Women's 4 x 100m Medley Relay,Canada,Swimming
Bronze Medal,3,2021-08-01 00:00:00.0,OLEKSIAK P,OLEKSIAK Penny,W,../../../en/results/swimming/athlete-profile-n1459677-oleksiak-penny.htm,CAN,SWM,Women's 4 x 100m Medley Relay,Canada,Swimming
Gold Medal,1,2021-08-01 00:00:00.0,McKEON E,McKEON Emma,W,../../../en/results/swimming/athlete-profile-n1482869-mckeon-emma.htm,AUS,SWM,Women's 50m Freestyle,,Swimming
Silver Medal,2,2021-08-01 00:00:00.0,SJOESTROEM S,SJOESTROEM Sarah,W,../../../en/results/swimming/athlete-profile-n1383927-sjoestroem-sarah.htm,SWE,SWM,Women's 50m Freestyle,Sweden,Swimming
Bronze Medal,3,2021-08-01 00:00:00.0,BLUME P,BLUME Pernille,W,../../../en/results/swimming/athlete-profile-n1366741-blume-pernille.htm,DEN,SWM,Women's 50m Freestyle,,Swimming
Gold Medal,1,2021-08-01 00:00:00.0,ZVEREV A,ZVEREV Alexander,M,../../../en/results/tennis/athlete-profile-n1319996-zverev-alexander.htm,GER,TEN,Men's Singles,Germany,Tennis
Silver Medal,2,2021-08-01 00:00:00.0,KHACHANOV K,KHACHANOV Karen,M,../../../en/results/tennis/athlete-profile-n1436771-khachanov-karen.htm,ROC,TEN,Men's Singles,ROC,Tennis
Gold Medal,1,2021-08-01 00:00:00.0,RUBLEV A,RUBLEV Andrey,X,../../../en/results/tennis/athlete-profile-n1436772-rublev-andrey.htm,ROC,TEN,Mixed Doubles,ROC,Tennis
Gold Medal,1,2021-08-01 00:00:00.0,PAVLYUCHENKOVA A,PAVLYUCHENKOVA Anastasia,X,../../../en/results/tennis/athlete-profile-n1436787-pavlyuchenkova-anastasia.htm,ROC,TEN,Mixed Doubles,ROC,Tennis
Silver Medal,2,2021-08-01 00:00:00.0,KARATSEV A,KARATSEV Aslan,X,../../../en/results/tennis/athlete-profile-n1436774-karatsev-aslan.htm,ROC,TEN,Mixed Doubles,ROC,Tennis
Silver Medal,2,2021-08-01 00:00:00.0,VESNINA E,VESNINA Elena,X,../../../en/results/tennis/athlete-profile-n1436777-vesnina-elena.htm,ROC,TEN,Mixed Doubles,ROC,Tennis
Gold Medal,1,2021-08-01 00:00:00.0,KREJCIKOVA B,KREJCIKOVA Barbora,W,../../../en/results/tennis/athlete-profile-n1408415-krejcikova-barbora.htm,CZE,TEN,Women's Doubles,Czech Republic,Tennis
Gold Medal,1,2021-08-01 00:00:00.0,SINIAKOVA K,SINIAKOVA Katerina,W,../../../en/results/tennis/athlete-profile-n1408422-siniakova-katerina.htm,CZE,TEN,Women's Doubles,Czech Republic,Tennis
Silver Medal,2,2021-08-01 00:00:00.0,BENCIC B,BENCIC Belinda,W,../../../en/results/tennis/athlete-profile-n1465472-bencic-belinda.htm,SUI,TEN,Women's Doubles,Switzerland,Tennis
Silver Medal,2,2021-08-01 00:00:00.0,GOLUBIC V,GOLUBIC Viktorija,W,../../../en/results/tennis/athlete-profile-n1465761-golubic-viktorija.htm,SUI,TEN,Women's Doubles,Switzerland,Tennis
Gold Medal,1,2021-08-01 00:00:00.0,DAJOMES BARRERA NP,DAJOMES BARRERA Neisi Patricia,W,../../../en/results/weightlifting/athlete-profile-n1462004-dajomes-barrera-neisi-patricia.htm,ECU,WLF,Women's 76kg,Ecuador,Weightlifting
Silver Medal,2,2021-08-01 00:00:00.0,NYE KE,NYE Katherine Elizabeth,W,../../../en/results/weightlifting/athlete-profile-n1285332-nye-katherine-elizabeth.htm,USA,WLF,Women's 76kg,United States of America,Weightlifting
Bronze Medal,3,2021-08-01 00:00:00.0,FUENTES ZAVALA A,FUENTES ZAVALA Aremi,W,../../../en/results/weightlifting/athlete-profile-n1302080-fuentes-zavala-aremi.htm,MEX,WLF,Women's 76kg,Mexico,Weightlifting
Gold Medal,1,2021-08-02 00:00:00.0,LIU Y,LIU Yang,M,../../../en/results/artistic-gymnastics/athlete-profile-n1324774-liu-yang.htm,CHN,GAR,Men's Rings,People's Republic of China,Artistic Gymnastics
Silver Medal,2,2021-08-02 00:00:00.0,YOU H,YOU Hao,M,../../../en/results/artistic-gymnastics/athlete-profile-n1329503-you-hao.htm,CHN,GAR,Men's Rings,People's Republic of China,Artistic Gymnastics
Bronze Medal,3,2021-08-02 00:00:00.0,PETROUNIAS E,PETROUNIAS Eleftherios,M,../../../en/results/artistic-gymnastics/athlete-profile-n1449994-petrounias-eleftherios.htm,GRE,GAR,Men's Rings,Greece,Artistic Gymnastics
Gold Medal,1,2021-08-02 00:00:00.0,SHIN J,SHIN Jeahwan,M,../../../en/results/artistic-gymnastics/athlete-profile-n1345414-shin-jeahwan.htm,KOR,GAR,Men's Vault,Republic of Korea,Artistic Gymnastics
Silver Medal,2,2021-08-02 00:00:00.0,ABLIAZIN D,ABLIAZIN Denis,M,../../../en/results/artistic-gymnastics/athlete-profile-n1406250-abliazin-denis.htm,ROC,GAR,Men's Vault,ROC,Artistic Gymnastics
Bronze Medal,3,2021-08-02 00:00:00.0,DAVTYAN A,DAVTYAN Artur,M,../../../en/results/artistic-gymnastics/athlete-profile-n1282141-davtyan-artur.htm,ARM,GAR,Men's Vault,Armenia,Artistic Gymnastics
Gold Medal,1,2021-08-02 00:00:00.0,CAREY J,CAREY Jade,W,../../../en/results/artistic-gymnastics/athlete-profile-n1348673-carey-jade.htm,USA,GAR,Women's Floor Exercise,United States of America,Artistic Gymnastics
Silver Medal,2,2021-08-02 00:00:00.0,FERRARI V,FERRARI Vanessa,W,../../../en/results/artistic-gymnastics/athlete-profile-n1333925-ferrari-vanessa.htm,ITA,GAR,Women's Floor Exercise,Italy,Artistic Gymnastics
Bronze Medal,3,2021-08-02 00:00:00.0,MURAKAMI M,MURAKAMI Mai,W,../../../en/results/artistic-gymnastics/athlete-profile-n1319115-murakami-mai.htm,JPN,GAR,Women's Floor Exercise,Japan,Artistic Gymnastics
Bronze Medal,3,2021-08-02 00:00:00.0,MELNIKOVA A,MELNIKOVA Angelina,W,../../../en/results/artistic-gymnastics/athlete-profile-n1406270-melnikova-angelina.htm,ROC,GAR,Women's Floor Exercise,ROC,Artistic Gymnastics
Gold Medal,1,2021-08-02 00:00:00.0,EL BAKKALI S,EL BAKKALI Soufiane,M,../../../en/results/athletics/athlete-profile-n1421637-el-bakkali-soufiane.htm,MAR,ATH,Men's 3000m Steeplechase,Morocco,Athletics
Silver Medal,2,2021-08-02 00:00:00.0,GIRMA L,GIRMA Lamecha,M,../../../en/results/athletics/athlete-profile-n1450573-girma-lamecha.htm,ETH,ATH,Men's 3000m Steeplechase,Ethiopia,Athletics
Bronze Medal,3,2021-08-02 00:00:00.0,KIGEN B,KIGEN Benjamin,M,../../../en/results/athletics/athlete-profile-n1402333-kigen-benjamin.htm,KEN,ATH,Men's 3000m Steeplechase,Kenya,Athletics
Gold Medal,1,2021-08-02 00:00:00.0,TENTOGLOU M,TENTOGLOU Miltiadis,M,../../../en/results/athletics/athlete-profile-n1450027-tentoglou-miltiadis.htm,GRE,ATH,Men's Long Jump,Greece,Athletics
Silver Medal,2,2021-08-02 00:00:00.0,ECHEVARRIA JM,ECHEVARRIA Juan Miguel,M,../../../en/results/athletics/athlete-profile-n1305849-echevarria-juan-miguel.htm,CUB,ATH,Men's Long Jump,Cuba,Athletics
Bronze Medal,3,2021-08-02 00:00:00.0,MASSO M,MASSO Maykel,M,../../../en/results/athletics/athlete-profile-n1305862-masso-maykel.htm,CUB,ATH,Men's Long Jump,Cuba,Athletics
Gold Medal,1,2021-08-02 00:00:00.0,CAMACHO-QUINN J,CAMACHO-QUINN Jasmine,W,../../../en/results/athletics/athlete-profile-n1285703-camacho-quinn-jasmine.htm,PUR,ATH,Women's 100m Hurdles,United States of America,Athletics
Silver Medal,2,2021-08-02 00:00:00.0,HARRISON K,HARRISON Kendra,W,../../../en/results/athletics/athlete-profile-n1469657-harrison-kendra.htm,USA,ATH,Women's 100m Hurdles,United States of America,Athletics
Bronze Medal,3,2021-08-02 00:00:00.0,TAPPER M,TAPPER Megan,W,../../../en/results/athletics/athlete-profile-n1437878-tapper-megan.htm,JAM,ATH,Women's 100m Hurdles,Jamaica,Athletics
Gold Medal,1,2021-08-02 00:00:00.0,HASSAN S,HASSAN Sifan,W,../../../en/results/athletics/athlete-profile-n1476183-hassan-sifan.htm,NED,ATH,Women's 5000m,Netherlands,Athletics
Silver Medal,2,2021-08-02 00:00:00.0,OBIRI H,OBIRI Hellen,W,../../../en/results/athletics/athlete-profile-n1402355-obiri-hellen.htm,KEN,ATH,Women's 5000m,Kenya,Athletics
Bronze Medal,3,2021-08-02 00:00:00.0,TSEGAY G,TSEGAY Gudaf,W,../../../en/results/athletics/athlete-profile-n1351964-tsegay-gudaf.htm,ETH,ATH,Women's 5000m,Ethiopia,Athletics
Gold Medal,1,2021-08-02 00:00:00.0,ALLMAN V,ALLMAN Valarie,W,../../../en/results/athletics/athlete-profile-n1459019-allman-valarie.htm,USA,ATH,Women's Discus Throw,United States of America,Athletics
Silver Medal,2,2021-08-02 00:00:00.0,PUDENZ K,PUDENZ Kristin,W,../../../en/results/athletics/athlete-profile-n1347172-pudenz-kristin.htm,GER,ATH,Women's Discus Throw,Germany,Athletics
Bronze Medal,3,2021-08-02 00:00:00.0,PEREZ Y,PEREZ Yaime,W,../../../en/results/athletics/athlete-profile-n1305834-perez-yaime.htm,CUB,ATH,Women's Discus Throw,Cuba,Athletics
Gold Medal,1,2021-08-02 00:00:00.0,AXELSEN V,AXELSEN Viktor,M,../../../en/results/badminton/athlete-profile-n1366610-axelsen-viktor.htm,DEN,BDM,Men's Singles,,Badminton
Silver Medal,2,2021-08-02 00:00:00.0,CHEN L,CHEN Long,M,../../../en/results/badminton/athlete-profile-n1349464-chen-long.htm,CHN,BDM,Men's Singles,People's Republic of China,Badminton
Bronze Medal,3,2021-08-02 00:00:00.0,AS GINTING,GINTING Anthony Sinisuka,M,../../../en/results/badminton/athlete-profile-n1364394-ginting-anthony-sinisuka.htm,INA,BDM,Men's Singles,Indonesia,Badminton
Gold Medal,1,2021-08-02 00:00:00.0,G POLII,Greysia POLII,W,../../../en/results/badminton/athlete-profile-n1364407-greysia-polii.htm,INA,BDM,Women's Doubles,Indonesia,Badminton
Gold Medal,1,2021-08-02 00:00:00.0,A RAHAYU,RAHAYU Apriyani,W,../../../en/results/badminton/athlete-profile-n1364408-rahayu-apriyani.htm,INA,BDM,Women's Doubles,Indonesia,Badminton
Silver Medal,2,2021-08-02 00:00:00.0,CHEN Qing Chen,CHEN Qing Chen,W,../../../en/results/badminton/athlete-profile-n1350257-chen-qing-chen.htm,CHN,BDM,Women's Doubles,People's Republic of China,Badminton
Silver Medal,2,2021-08-02 00:00:00.0,JIA Yi Fan,JIA Yi Fan,W,../../../en/results/badminton/athlete-profile-n1350272-jia-yi-fan.htm,CHN,BDM,Women's Doubles,People's Republic of China,Badminton
Bronze Medal,3,2021-08-02 00:00:00.0,KIM S,KIM Soyeong,W,../../../en/results/badminton/athlete-profile-n1329879-kim-soyeong.htm,KOR,BDM,Women's Doubles,Republic of Korea,Badminton
Bronze Medal,3,2021-08-02 00:00:00.0,KONG H,KONG Heeyong,W,../../../en/results/badminton/athlete-profile-n1329880-kong-heeyong.htm,KOR,BDM,Women's Doubles,Republic of Korea,Badminton
Gold Medal,1,2021-08-02 00:00:00.0,ZHONG T,ZHONG Tianshi,W,../../../en/results/cycling-track/athlete-profile-n1352032-zhong-tianshi.htm,CHN,CTR,Women's Team Sprint,People's Republic of China,Cycling Track
Gold Medal,1,2021-08-02 00:00:00.0,BAO S,BAO Shanju,W,../../../en/results/cycling-track/athlete-profile-n1388592-bao-shanju.htm,CHN,CTR,Women's Team Sprint,People's Republic of China,Cycling Track
Silver Medal,2,2021-08-02 00:00:00.0,HINZE E,HINZE Emma,W,../../../en/results/cycling-track/athlete-profile-n1330469-hinze-emma.htm,GER,CTR,Women's Team Sprint,Germany,Cycling Track
Silver Medal,2,2021-08-02 00:00:00.0,FRIEDRICH LS,FRIEDRICH Lea Sophie,W,../../../en/results/cycling-track/athlete-profile-n1330472-friedrich-lea-sophie.htm,GER,CTR,Women's Team Sprint,Germany,Cycling Track
Bronze Medal,3,2021-08-02 00:00:00.0,VOINOVA A,VOINOVA Anastasiia,W,../../../en/results/cycling-track/athlete-profile-n1436553-voinova-anastasiia.htm,ROC,CTR,Women's Team Sprint,ROC,Cycling Track
Bronze Medal,3,2021-08-02 00:00:00.0,SHMELEVA D,SHMELEVA Daria,W,../../../en/results/cycling-track/athlete-profile-n1436597-shmeleva-daria.htm,ROC,CTR,Women's Team Sprint,ROC,Cycling Track
Gold Medal,1,2021-08-02 00:00:00.0,KRAJEWSKI J,KRAJEWSKI Julia,O,../../../en/results/equestrian/athlete-profile-n1346461-krajewski-julia.htm,GER,EQU,Eventing Individual,Germany,Equestrian
Silver Medal,2,2021-08-02 00:00:00.0,McEWEN T,McEWEN Tom,O,../../../en/results/equestrian/athlete-profile-n1478824-mcewen-tom.htm,GBR,EQU,Eventing Individual,Great Britain,Equestrian
Bronze Medal,3,2021-08-02 00:00:00.0,HOY A,HOY Andrew,O,../../../en/results/equestrian/athlete-profile-n1482507-hoy-andrew.htm,AUS,EQU,Eventing Individual,,Equestrian
Gold Medal,1,2021-08-02 00:00:00.0,McEWEN T,McEWEN Tom,O,../../../en/results/equestrian/athlete-profile-n1478824-mcewen-tom.htm,GBR,EQU,Eventing Team,Great Britain,Equestrian
Gold Medal,1,2021-08-02 00:00:00.0,TOWNEND O,TOWNEND Oliver,O,../../../en/results/equestrian/athlete-profile-n1478830-townend-oliver.htm,GBR,EQU,Eventing Team,Great Britain,Equestrian
Gold Medal,1,2021-08-02 00:00:00.0,COLLETT L,COLLETT Laura,O,../../../en/results/equestrian/athlete-profile-n1478815-collett-laura.htm,GBR,EQU,Eventing Team,Great Britain,Equestrian
Silver Medal,2,2021-08-02 00:00:00.0,ROSE S,ROSE Shane,O,../../../en/results/equestrian/athlete-profile-n1482502-rose-shane.htm,AUS,EQU,Eventing Team,,Equestrian
Silver Medal,2,2021-08-02 00:00:00.0,McNAB K,McNAB Kevin,O,../../../en/results/equestrian/athlete-profile-n1482503-mcnab-kevin.htm,AUS,EQU,Eventing Team,,Equestrian
Silver Medal,2,2021-08-02 00:00:00.0,HOY A,HOY Andrew,O,../../../en/results/equestrian/athlete-profile-n1482507-hoy-andrew.htm,AUS,EQU,Eventing Team,,Equestrian
Bronze Medal,3,2021-08-02 00:00:00.0,LAGHOUAG KF,LAGHOUAG Karim Florent,O,../../../en/results/equestrian/athlete-profile-n1350506-laghouag-karim-florent.htm,FRA,EQU,Eventing Team,France,Equestrian
Bronze Medal,3,2021-08-02 00:00:00.0,SIX C,SIX Christopher,O,../../../en/results/equestrian/athlete-profile-n1350523-six-christopher.htm,FRA,EQU,Eventing Team,France,Equestrian
Bronze Medal,3,2021-08-02 00:00:00.0,TOUZAINT N,TOUZAINT Nicolas,O,../../../en/results/equestrian/athlete-profile-n1350526-touzaint-nicolas.htm,FRA,EQU,Eventing Team,France,Equestrian
Gold Medal,1,2021-08-02 00:00:00.0,QUIQUAMPOIX J,QUIQUAMPOIX Jean,M,../../../en/results/shooting/athlete-profile-n1314464-quiquampoix-jean.htm,FRA,SHO,25m Rapid Fire Pistol Men,France,Shooting
Silver Medal,2,2021-08-02 00:00:00.0,PUPO L,PUPO Leuris,M,../../../en/results/shooting/athlete-profile-n1308227-pupo-leuris.htm,CUB,SHO,25m Rapid Fire Pistol Men,Cuba,Shooting
Bronze Medal,3,2021-08-02 00:00:00.0,LI Y,LI Yuehong,M,../../../en/results/shooting/athlete-profile-n1302196-li-yuehong.htm,CHN,SHO,25m Rapid Fire Pistol Men,People's Republic of China,Shooting
Gold Medal,1,2021-08-02 00:00:00.0,ZHANG C,ZHANG Changhong,M,../../../en/results/shooting/athlete-profile-n1302173-zhang-changhong.htm,CHN,SHO,50m Rifle 3 Positions Men,People's Republic of China,Shooting
